##NAMES=Ancylite-(Ce)
##RRUFFID=R060218
##IDEAL CHEMISTRY=CeSr(CO_3_)_2_(OH)&#183;H_2_O
##LOCALITY=Mont Saint-Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Royal Ontario Museum
##DESCRIPTION=Pale pink prismatic crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060218
##MEASURED CHEMISTRY=(Ce_0.40_(La,Pr)_0.23_Ca_0.18_Nd_0.10_Sr_0.09_)_Σ=1_CO_3_((OH)_0.67_(H_2_O)_0.27_F_0.06_)_Σ=1_
91.82715, 0.0000000E+00
92.30927, 1.924155
92.79138, 4.2383999E-02
93.27350, 0.3300730
93.75562, 1.035714
94.23773, 1.168339
94.71985, 1.229756
95.20197, 1.071428
95.68408, 0.6590040
96.16620, 0.1858880
96.64832, 7.8488998E-02
97.13043, 0.4809370
97.61255, 1.219504
98.09467, 1.827207
98.57678, 1.772624
99.05890, 2.192259
99.54102, 4.786137
100.0231, 8.528003
100.5052, 12.37269
100.9874, 15.79563
101.4695, 18.90791
101.9516, 22.37123
102.4337, 26.35626
102.9158, 30.68051
103.3979, 35.64494
103.8801, 40.83555
104.3622, 45.56032
104.8443, 49.34042
105.3264, 52.15015
105.8085, 54.17734
106.2906, 55.32542
106.7728, 55.86435
107.2549, 55.80169
107.7370, 55.10599
108.2191, 53.84353
108.7012, 52.01788
109.1833, 49.49949
109.6655, 47.69045
110.1476, 47.42318
110.6297, 47.42482
111.1118, 46.47962
111.5939, 44.29449
112.0760, 42.53553
112.5582, 41.98978
113.0403, 43.00979
113.5224, 44.99877
114.0045, 47.54997
114.4866, 50.34844
114.9688, 51.99910
115.4509, 51.19267
115.9330, 49.93573
116.4151, 49.15110
116.8972, 49.33939
117.3793, 50.12337
117.8615, 50.23282
118.3436, 49.55831
118.8257, 48.90449
119.3078, 48.78918
119.7899, 48.75502
120.2720, 47.81753
120.7542, 45.78136
121.2363, 42.77693
121.7184, 39.95338
122.2005, 37.96934
122.6826, 36.37779
123.1647, 35.60809
123.6468, 35.13783
124.1290, 34.20280
124.6111, 32.33177
125.0932, 29.64895
125.5753, 27.22598
126.0574, 25.55407
126.5395, 23.60332
127.0217, 20.48857
127.5038, 16.49128
127.9859, 13.06667
128.4680, 11.46906
128.9501, 11.45002
129.4323, 10.97009
129.9144, 9.922436
130.3965, 8.408141
130.8786, 6.265682
131.3607, 3.284832
131.8428, 0.6417490
132.3250, 0.3670060
132.8071, 0.4102180
133.2892, 0.2997090
133.7713, 0.2375370
134.2534, 0.3418920
134.7355, 0.1912270
135.2177, 2.0400999E-02
135.6998, 0.4045840
136.1819, 0.3827480
136.6640, 6.4696997E-02
137.1461, 0.1804050
137.6282, 2.8953999E-02
138.1104, 0.4974850
138.5925, 1.4890000E-02
139.0746, 0.5514670
139.5567, 0.2481300
140.0388, 0.4299830
140.5209, 0.3549240
141.0031, 0.5285120
141.4852, 0.5248180
141.9673, 0.1488580
142.4494, 0.6443990
142.9315, 0.1659780
143.4136, 0.4416070
143.8958, 0.2471900
144.3779, 0.5278220
144.8600, 0.6737360
145.3421, 0.3755040
145.8242, 6.6004999E-02
146.3063, 0.6687810
146.7885, 0.6318870
147.2706, 0.6086730
147.7527, 0.3221330
148.2348, 2.1823000E-02
148.7169, 0.3550720
149.1990, 0.4172210
149.6812, 0.6980590
150.1633, 0.2337040
150.6454, 0.1877110
151.1275, 1.314007
151.6096, 2.374150
152.0917, 2.297538
152.5739, 2.029012
153.0560, 3.061478
153.5381, 5.739779
154.0202, 8.589101
154.5023, 10.32291
154.9844, 10.87964
155.4665, 11.48128
155.9487, 13.11813
156.4308, 14.66650
156.9129, 14.96311
157.3950, 13.54718
157.8771, 11.67230
158.3592, 11.33294
158.8414, 13.21460
159.3235, 14.94027
159.8056, 15.99804
160.2877, 16.63125
160.7698, 16.91627
161.2519, 16.84476
161.7341, 16.67456
162.2162, 17.18258
162.6983, 19.10530
163.1804, 20.76734
163.6625, 21.83272
164.1446, 22.54774
164.6268, 23.17286
165.1089, 23.85933
165.5910, 24.61193
166.0731, 25.51972
166.5552, 26.70571
167.0373, 27.91487
167.5195, 28.89209
168.0016, 29.86027
168.4837, 31.29527
168.9658, 33.54380
169.4479, 36.56964
169.9300, 39.33314
170.4122, 42.24429
170.8943, 44.58097
171.3764, 45.74393
171.8585, 45.92099
172.3406, 45.92822
172.8227, 46.16819
173.3049, 46.77314
173.7870, 48.11403
174.2691, 51.18288
174.7512, 54.32032
175.2333, 55.95172
175.7154, 55.98941
176.1976, 55.89625
176.6797, 56.62379
177.1618, 58.05767
177.6439, 59.89419
178.1260, 62.42929
178.6081, 65.20575
179.0903, 67.62790
179.5724, 69.66820
180.0545, 71.38129
180.5366, 72.88468
181.0187, 74.10751
181.5008, 74.78690
181.9830, 74.40072
182.4651, 73.41837
182.9472, 73.39471
183.4293, 74.83996
183.9114, 76.53915
184.3935, 77.97205
184.8757, 79.21562
185.3578, 80.52551
185.8399, 82.31590
186.3220, 84.45329
186.8041, 85.09870
187.2862, 83.07746
187.7684, 80.61912
188.2505, 77.82656
188.7326, 75.06474
189.2147, 73.01352
189.6968, 72.47138
190.1789, 73.57178
190.6611, 72.87150
191.1432, 68.54150
191.6253, 64.12659
192.1074, 60.81809
192.5895, 58.44435
193.0716, 56.13735
193.5538, 53.12908
194.0359, 49.35379
194.5180, 45.53849
195.0001, 41.37438
195.4822, 37.41873
195.9643, 34.31624
196.4465, 31.83394
196.9286, 28.77353
197.4107, 23.85291
197.8928, 16.66300
198.3749, 11.59024
198.8570, 10.19968
199.3392, 9.465198
199.8213, 7.225011
200.3034, 3.383175
200.7855, 0.4770240
201.2676, 0.6987750
201.7497, 0.4839810
202.2319, 0.3322300
202.7140, 0.6691100
203.1961, 0.6651550
203.6782, 0.9399580
204.1603, 1.031863
204.6424, 2.658841
205.1246, 3.216664
205.6067, 1.389246
206.0888, 0.3458120
206.5709, 0.9204640
207.0530, 2.593120
207.5351, 4.821459
208.0173, 7.788040
208.4994, 10.94567
208.9815, 13.67624
209.4636, 16.14355
209.9457, 18.73209
210.4278, 21.70885
210.9100, 25.00148
211.3921, 28.48850
211.8742, 32.18765
212.3563, 36.16252
212.8384, 40.74121
213.3205, 45.59005
213.8027, 50.21125
214.2848, 54.46159
214.7669, 58.29219
215.2490, 61.22473
215.7311, 62.29049
216.2132, 63.82147
216.6954, 66.82719
217.1775, 70.89503
217.6596, 75.33777
