##NAMES=Aravaipaite
##RRUFFID=R100032
##IDEAL CHEMISTRY=Pb_3_AlF_9_&#183;H_2_O
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Transparent sheets, associated with laurelite R100011 and scotlandite R100043
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100032
123.7582, 0.0000000E+00
124.2404, 11.65538
124.7225, 24.29686
125.2046, 37.18576
125.6867, 49.82339
126.1688, 67.72925
126.6509, 82.41576
127.1331, 88.68597
127.6152, 96.96273
128.0973, 115.5102
128.5794, 123.2908
129.0615, 115.1473
129.5436, 92.70036
130.0258, 70.20718
130.5079, 49.94450
130.9900, 29.63864
131.4721, 9.150665
131.9542, 8.231995
132.4363, 19.60736
132.9185, 25.32101
133.4006, 27.66257
133.8827, 27.51178
134.3648, 24.66678
134.8469, 15.59979
135.3290, 0.1713870
135.8112, 20.15399
136.2933, 41.79510
136.7754, 65.43353
137.2575, 88.84747
137.7396, 111.9366
138.2217, 133.8286
138.7039, 154.8563
139.1860, 175.8728
139.6681, 194.6813
140.1502, 208.5543
140.6323, 216.3245
141.1144, 221.6582
141.5966, 225.0259
142.0787, 225.0524
142.5608, 228.3411
143.0429, 234.1071
143.5250, 243.4492
144.0071, 258.8812
144.4893, 280.6537
144.9714, 307.5886
145.4535, 338.9286
145.9356, 377.2751
146.4177, 416.0745
146.8998, 456.5126
147.3820, 497.6571
147.8641, 538.2677
148.3462, 576.6624
148.8283, 615.3264
149.3104, 656.3461
149.7925, 702.5901
150.2747, 747.0487
150.7568, 789.3062
151.2389, 829.2175
151.7210, 864.4384
152.2031, 891.6689
152.6852, 915.6709
153.1674, 939.8140
153.6495, 967.2178
154.1316, 991.1997
154.6137, 1009.451
155.0958, 1021.841
155.5779, 1035.225
156.0601, 1049.121
156.5422, 1064.987
157.0243, 1083.708
157.5064, 1105.950
157.9885, 1130.641
158.4706, 1156.947
158.9528, 1184.555
159.4349, 1216.516
159.9170, 1255.080
160.3991, 1297.985
160.8812, 1342.618
161.3633, 1385.172
161.8455, 1431.747
162.3276, 1486.454
162.8097, 1550.083
163.2918, 1615.027
163.7739, 1676.993
164.2560, 1734.116
164.7382, 1767.423
165.2203, 1798.708
165.7024, 1830.113
166.1845, 1857.553
166.6666, 1879.357
167.1487, 1901.895
167.6309, 1930.166
168.1130, 1962.239
168.5951, 1993.245
169.0772, 2022.862
169.5593, 2049.958
170.0414, 2073.140
170.5236, 2091.297
171.0057, 2107.975
171.4878, 2125.391
171.9699, 2143.715
172.4520, 2162.798
172.9341, 2183.008
173.4163, 2204.054
173.8984, 2225.814
174.3805, 2249.191
174.8626, 2271.847
175.3447, 2294.734
175.8268, 2316.796
176.3090, 2333.087
176.7911, 2338.046
177.2732, 2335.276
177.7553, 2330.581
178.2374, 2326.594
178.7195, 2320.000
179.2017, 2306.925
179.6838, 2287.499
180.1659, 2262.822
180.6480, 2231.024
181.1301, 2194.590
181.6122, 2155.227
182.0944, 2118.437
182.5765, 2082.645
183.0586, 2044.350
183.5407, 2004.005
184.0228, 1962.907
184.5049, 1921.850
184.9871, 1881.033
185.4692, 1842.150
185.9513, 1805.274
186.4334, 1770.606
186.9155, 1737.783
187.3976, 1706.894
187.8798, 1678.656
188.3619, 1654.126
188.8440, 1632.876
189.3261, 1613.341
189.8082, 1595.542
190.2903, 1579.226
190.7725, 1562.614
191.2546, 1545.690
191.7367, 1529.211
192.2188, 1514.028
192.7009, 1500.173
193.1830, 1486.921
193.6652, 1474.580
194.1473, 1462.616
194.6294, 1447.346
195.1115, 1428.267
195.5936, 1407.579
196.0757, 1388.354
196.5579, 1370.668
197.0400, 1352.232
197.5221, 1332.420
198.0042, 1311.271
198.4863, 1287.932
198.9684, 1261.983
199.4506, 1234.931
199.9327, 1208.845
200.4148, 1183.573
200.8969, 1159.835
201.3790, 1139.343
201.8611, 1122.407
202.3433, 1099.599
202.8254, 1069.615
203.3075, 1035.641
203.7896, 1002.913
204.2717, 971.2336
204.7538, 940.7881
205.2360, 912.2141
205.7181, 885.8506
206.2002, 857.7981
206.6823, 827.6843
207.1644, 796.3176
207.6465, 765.0591
208.1287, 734.2097
208.6108, 703.3188
209.0929, 671.4355
209.5750, 637.5195
210.0571, 608.6013
210.5392, 586.2151
211.0214, 567.3953
211.5035, 545.3232
211.9856, 518.4629
212.4677, 493.1948
212.9498, 472.4973
