##NAMES=Atelestite
##RRUFFID=R080139
##IDEAL CHEMISTRY=Bi^3+^_2_O(As^5+^O_4_)(OH)
##LOCALITY=Daniel mine, Schneeberg, Saxony, Germany
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Small sharp tan to cream colored crystals, associated with dark brown eulytine
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080139
143.0764, 0.0000000E+00
143.5585, 97.92383
144.0406, 147.8369
144.5228, 126.0625
145.0049, 130.0928
145.4870, 77.90918
145.9691, 13.86328
146.4512, 35.19336
146.9333, 59.72559
147.4155, 54.21191
147.8976, 21.62988
148.3797, 8.155273
148.8618, 22.43652
149.3439, 41.84863
149.8260, 79.17480
150.3082, 113.3633
150.7903, 188.2705
151.2724, 306.5498
151.7545, 466.6152
152.2366, 672.2207
152.7188, 924.0771
153.2009, 1219.312
153.6830, 1552.402
154.1651, 1916.125
154.6472, 2323.618
155.1293, 2781.687
155.6115, 3298.155
156.0936, 3813.189
156.5757, 4310.556
157.0578, 4805.707
157.5399, 5308.021
158.0220, 5825.082
158.5042, 6347.566
158.9863, 6863.258
159.4684, 7367.710
159.9505, 7890.433
160.4326, 8428.013
160.9147, 8988.175
161.3969, 9582.252
161.8790, 10187.36
162.3611, 10846.58
162.8432, 11581.95
163.3253, 12385.23
163.8074, 13274.29
164.2896, 14250.13
164.7717, 15315.43
165.2538, 16476.13
165.7359, 17715.32
166.2180, 19060.20
166.7001, 20547.63
167.1823, 22196.91
167.6644, 23920.50
168.1465, 25710.02
168.6286, 27538.23
169.1107, 29327.23
169.5928, 31137.02
170.0750, 32837.84
170.5571, 34350.26
171.0392, 35717.39
171.5213, 36757.38
172.0034, 37373.41
172.4855, 37552.62
172.9677, 37228.71
173.4498, 36235.84
173.9319, 34749.82
174.4140, 32990.71
174.8961, 30869.17
175.3782, 28665.03
175.8604, 26565.69
176.3425, 24569.16
176.8246, 22750.02
177.3067, 21144.38
177.7888, 19731.01
178.2709, 18494.77
178.7531, 17433.28
179.2352, 16525.09
179.7173, 15738.64
180.1994, 15069.23
180.6815, 14513.11
181.1636, 14080.77
181.6458, 13762.44
182.1279, 13544.52
182.6100, 13422.16
183.0921, 13394.32
183.5742, 13461.11
184.0563, 13621.97
184.5385, 13864.62
185.0206, 14184.20
185.5027, 14578.39
185.9848, 15020.78
186.4669, 15500.64
186.9490, 16022.27
187.4312, 16621.08
187.9133, 17288.58
188.3954, 18017.64
188.8775, 18789.94
189.3596, 19602.09
189.8417, 20465.14
190.3239, 21372.90
190.8060, 22333.02
191.2881, 23353.35
191.7702, 24446.85
192.2523, 25598.77
192.7344, 26787.66
193.2166, 28002.20
193.6987, 29220.42
194.1808, 30465.83
194.6629, 31724.27
195.1450, 32939.21
195.6271, 34113.21
196.1093, 35204.59
196.5914, 36176.15
197.0735, 37022.48
197.5556, 37724.04
198.0377, 38301.72
198.5198, 38751.30
199.0020, 38948.22
199.4841, 38900.27
199.9662, 38657.50
200.4483, 38284.16
200.9304, 37779.20
201.4125, 37159.52
201.8947, 36418.80
202.3768, 35551.71
202.8589, 34629.80
203.3410, 33640.00
203.8231, 32610.46
204.3052, 31599.19
204.7874, 30595.78
205.2695, 29635.38
205.7516, 28725.89
206.2337, 27861.81
206.7158, 27079.16
207.1979, 26375.73
207.6801, 25753.36
208.1622, 25228.61
208.6443, 24803.59
209.1264, 24457.57
209.6085, 24182.89
210.0906, 23980.53
210.5728, 23842.37
211.0549, 23766.06
211.5370, 23756.54
212.0191, 23832.79
212.5012, 24010.40
212.9833, 24236.73
213.4655, 24495.12
213.9476, 24801.49
214.4297, 25091.99
214.9118, 25383.41
215.3939, 25648.99
215.8760, 25841.14
216.3581, 25984.81
216.8403, 26000.15
217.3224, 25850.71
217.8045, 25531.64
218.2866, 25055.92
218.7687, 24416.16
219.2508, 23622.08
219.7330, 22706.91
220.2151, 21639.43
220.6972, 20510.55
221.1793, 19366.60
221.6614, 18174.87
222.1435, 17027.31
222.6257, 15912.13
223.1078, 14843.01
223.5899, 13824.30
224.0720, 12839.66
224.5541, 11928.51
225.0362, 11091.80
225.5184, 10344.35
226.0005, 9654.103
226.4826, 9023.238
226.9647, 8447.109
227.4468, 7892.912
227.9289, 7362.521
228.4111, 6858.318
228.8932, 6382.982
229.3753, 5945.291
229.8574, 5519.359
230.3395, 5110.080
230.8216, 4715.186
231.3038, 4317.867
231.7859, 3905.975
232.2680, 3513.417
232.7501, 3156.321
233.2322, 2844.284
233.7143, 2546.505
234.1965, 2257.916
234.6786, 1982.419
235.1607, 1727.065
235.6428, 1490.708
236.1249, 1275.566
236.6070, 1083.764
237.0892, 921.5986
237.5713, 768.8154
238.0534, 627.5820
238.5355, 495.0117
239.0176, 363.7148
239.4997, 227.2930
239.9819, 98.56934
240.4640, 15.94727
240.9461, 115.0449
241.4282, 204.6094
241.9103, 284.4404
242.3924, 354.7227
242.8746, 414.6201
243.3567, 457.0488
243.8388, 499.6465
244.3209, 551.1553
244.8030, 618.5459
245.2851, 674.8164
245.7673, 720.9590
246.2494, 755.4434
246.7315, 774.6191
247.2136, 775.7383
247.6957, 765.6904
248.1778, 744.2002
248.6600, 703.8711
249.1421, 676.7988
249.6242, 675.3525
250.1063, 680.7500
250.5884, 654.9229
251.0705, 584.8291
251.5527, 505.8496
252.0348, 433.7061
252.5169, 375.4219
252.9990, 295.9863
253.4811, 190.4873
253.9632, 66.04297
254.4454, 61.94824
254.9275, 188.9453
255.4096, 329.7480
255.8917, 490.1338
256.3738, 670.6260
256.8560, 864.3594
257.3381, 1071.542
257.8202, 1293.198
258.3023, 1535.897
258.7844, 1798.742
259.2665, 2078.926
259.7487, 2376.717
260.2308, 2690.881
260.7129, 3022.135
261.1950, 3370.087
261.6771, 3733.632
262.1592, 4110.104
262.6414, 4493.160
263.1235, 4897.010
263.6056, 5323.003
264.0877, 5775.884
264.5698, 6235.301
