##NAMES=Beta-fergusonite-(Y)
##RRUFFID=R080103
##IDEAL CHEMISTRY=YNbO_4_
##LOCALITY=Arendal, Aust-Agder, Norway
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Olive green fragment from metamict sample R070600, after heating at T = 1000 C for 20 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080103
150.3082, 0.0000000E+00
150.7903, 2.542969
151.2724, 32.16016
151.7545, 85.57812
152.2366, 142.0117
152.7188, 173.0938
153.2009, 206.6680
153.6830, 272.5195
154.1651, 427.8477
154.6472, 558.4648
155.1293, 666.0938
155.6115, 731.0078
156.0936, 747.7734
156.5757, 682.8867
157.0578, 611.5938
157.5399, 593.8516
158.0220, 701.8086
158.5042, 797.0508
158.9863, 822.3203
159.4684, 750.6641
159.9505, 699.4219
160.4326, 742.2500
160.9147, 835.2812
161.3969, 919.0742
161.8790, 994.7266
162.3611, 1064.402
162.8432, 1139.117
163.3253, 1167.406
163.8074, 1184.445
164.2896, 1245.648
164.7717, 1339.301
165.2538, 1419.773
165.7359, 1461.062
166.2180, 1462.906
166.7001, 1415.637
167.1823, 1310.574
167.6644, 1199.293
168.1465, 1129.379
168.6286, 1080.406
169.1107, 1010.023
169.5928, 894.4609
170.0750, 765.2188
170.5571, 651.4297
171.0392, 564.1992
171.5213, 488.0469
172.0034, 417.0547
172.4855, 349.2422
172.9677, 274.8789
173.4498, 176.9492
173.9319, 71.69141
174.4140, 19.01562
174.8961, 92.53906
175.3782, 145.4141
175.8604, 165.4414
176.3425, 155.3906
176.8246, 141.2266
177.3067, 140.8164
177.7888, 148.2422
178.2709, 154.7031
178.7531, 163.3281
179.2352, 166.3164
179.7173, 155.3633
180.1994, 130.4102
180.6815, 84.39453
181.1636, 15.40625
181.6458, 78.50000
182.1279, 200.7305
182.6100, 365.1055
183.0921, 553.5898
183.5742, 740.4062
184.0563, 921.6562
184.5385, 1094.770
185.0206, 1221.660
185.5027, 1322.277
185.9848, 1487.902
186.4669, 1798.211
186.9490, 2191.512
187.4312, 2488.172
187.9133, 2672.707
188.3954, 2821.141
188.8775, 3011.219
189.3596, 3238.066
189.8417, 3470.094
190.3239, 3698.559
190.8060, 3923.391
191.2881, 4124.086
191.7702, 4292.711
192.2523, 4458.879
192.7344, 4676.449
193.2166, 4944.703
193.6987, 5189.332
194.1808, 5374.176
194.6629, 5504.348
195.1450, 5648.945
195.6271, 5810.898
196.1093, 5980.598
196.5914, 6145.352
197.0735, 6304.887
197.5556, 6459.441
198.0377, 6601.473
198.5198, 6732.309
199.0020, 6891.172
199.4841, 7092.422
199.9662, 7296.477
200.4483, 7435.910
200.9304, 7500.938
201.4125, 7561.195
201.8947, 7643.719
202.3768, 7758.078
202.8589, 7908.301
203.3410, 8096.297
203.8231, 8317.105
204.3052, 8563.035
204.7874, 8831.738
205.2695, 9096.488
205.7516, 9343.684
206.2337, 9564.551
206.7158, 9750.695
207.1979, 9897.293
207.6801, 10016.76
208.1622, 10147.62
208.6443, 10269.33
209.1264, 10426.63
209.6085, 10655.36
210.0906, 10981.73
210.5728, 11262.80
211.0549, 11489.85
211.5370, 11670.95
212.0191, 11808.39
212.5012, 11879.89
212.9833, 11970.47
213.4655, 12126.58
213.9476, 12373.06
214.4297, 12596.65
214.9118, 12785.71
215.3939, 12956.39
215.8760, 13155.86
216.3581, 13386.00
216.8403, 13636.30
217.3224, 13893.96
217.8045, 14149.23
218.2866, 14451.33
218.7687, 14819.30
219.2508, 15225.05
219.7330, 15579.80
220.2151, 15860.33
220.6972, 16126.19
221.1793, 16389.29
221.6614, 16622.45
222.1435, 16938.58
222.6257, 17390.34
223.1078, 17910.95
223.5899, 18321.00
224.0720, 18563.93
224.5541, 18790.44
225.0362, 19089.35
225.5184, 19524.02
226.0005, 19861.94
226.4826, 20043.71
226.9647, 20144.24
227.4468, 20392.32
227.9289, 20874.00
228.4111, 21371.66
228.8932, 21788.20
229.3753, 22100.13
229.8574, 22387.95
230.3395, 22644.80
230.8216, 22877.29
231.3038, 23108.27
231.7859, 23331.70
232.2680, 23557.29
232.7501, 23790.36
233.2322, 24042.82
233.7143, 24275.95
234.1965, 24498.31
234.6786, 24702.71
235.1607, 24877.37
235.6428, 25043.89
236.1249, 25144.95
236.6070, 25143.74
237.0892, 24977.09
237.5713, 24850.84
238.0534, 24805.40
238.5355, 24790.75
239.0176, 24681.64
239.4997, 24480.24
239.9819, 24176.39
240.4640, 23757.75
240.9461, 23174.19
241.4282, 22594.88
241.9103, 22045.04
242.3924, 21492.32
242.8746, 20856.16
243.3567, 20112.06
243.8388, 19323.59
244.3209, 18515.42
244.8030, 17707.90
245.2851, 16846.74
245.7673, 15904.00
246.2494, 14920.00
246.7315, 13986.30
