##NAMES=Blatonite
##RRUFFID=R060594
##IDEAL CHEMISTRY=UO_2_CO_3_&#183;H_2_O
##LOCALITY=Jomac mine, San Juan County, Utah, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Yellow acicular crystals. No diffraction spots, just some streaks
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060594
154.307, 0.000
154.789, 35.812
155.271, 86.232
155.753, 114.924
156.235, 20.676
156.718, 23.699
157.200, 23.609
157.682, 134.951
158.164, 250.637
158.646, 368.229
159.128, 474.268
159.610, 560.057
160.092, 606.844
160.574, 648.580
161.057, 690.482
161.539, 732.076
162.021, 773.936
162.503, 820.883
162.985, 863.803
163.467, 895.148
163.949, 904.225
164.431, 907.020
164.913, 909.818
165.396, 912.879
165.878, 917.619
166.360, 946.611
166.842, 974.047
167.324, 966.764
167.806, 866.545
168.288, 757.676
168.770, 712.441
169.253, 743.348
169.735, 774.633
170.217, 745.771
170.699, 679.918
171.181, 622.857
171.663, 606.961
172.145, 607.736
172.627, 595.455
173.109, 558.877
173.592, 529.309
174.074, 549.285
174.556, 604.789
175.038, 647.463
175.520, 628.152
176.002, 579.717
176.484, 558.201
176.966, 588.314
177.449, 629.521
177.931, 623.145
178.413, 574.803
178.895, 531.232
179.377, 531.016
179.859, 563.338
180.341, 604.020
180.823, 655.230
181.305, 704.934
181.788, 727.002
182.270, 721.154
182.752, 708.896
183.234, 709.520
183.716, 718.912
184.198, 734.480
184.680, 762.336
185.162, 799.510
185.645, 835.678
186.127, 879.221
186.609, 917.004
187.091, 927.383
187.573, 914.025
188.055, 908.506
188.537, 937.488
189.019, 990.465
189.501, 1015.541
189.984, 1006.520
190.466, 980.912
190.948, 971.852
191.430, 979.771
191.912, 972.822
192.394, 916.189
192.876, 818.471
193.358, 759.234
193.840, 756.027
194.323, 783.447
194.805, 787.178
195.287, 765.625
195.769, 736.088
196.251, 712.150
196.733, 694.199
197.215, 664.844
197.697, 617.252
198.180, 559.162
198.662, 517.738
199.144, 495.779
199.626, 480.303
200.108, 456.469
200.590, 421.742
201.072, 405.035
201.554, 419.936
202.036, 458.719
202.519, 467.109
203.001, 435.242
203.483, 394.646
203.965, 376.809
204.447, 383.166
204.929, 400.410
205.411, 430.703
205.893, 472.684
206.376, 490.871
206.858, 483.191
207.340, 453.738
207.822, 401.945
208.304, 319.400
208.786, 245.061
209.268, 198.248
209.750, 184.441
210.232, 148.729
210.715, 81.158
211.197, 5.252
211.679, 39.777
212.161, 52.285
212.643, 45.881
213.125, 17.393
213.607, 49.312
214.089, 65.367
214.572, 3.230
215.054, 92.432
215.536, 120.965
216.018, 51.625
216.500, 19.826
216.982, 41.402
217.464, 15.262
217.946, 38.312
218.428, 15.633
218.911, 39.275
219.393, 84.922
219.875, 120.451
220.357, 147.881
220.839, 167.434
221.321, 177.117
221.803, 186.051
222.285, 198.457
222.768, 212.137
223.250, 211.602
223.732, 187.547
224.214, 164.803
224.696, 158.775
225.178, 170.709
225.660, 199.879
226.142, 254.059
226.624, 329.627
227.107, 383.488
227.589, 398.504
228.071, 411.793
228.553, 453.543
229.035, 540.762
229.517, 621.172
229.999, 683.695
230.481, 728.594
230.964, 787.801
231.446, 873.322
231.928, 961.098
232.410, 1028.396
232.892, 1070.982
233.374, 1102.631
233.856, 1117.342
234.338, 1110.990
234.820, 1128.637
235.303, 1187.256
235.785, 1262.846
236.267, 1330.047
236.749, 1383.693
237.231, 1422.717
237.713, 1440.555
238.195, 1433.916
238.677, 1459.703
239.160, 1540.037
239.642, 1637.184
240.124, 1703.354
240.606, 1721.654
241.088, 1729.354
241.570, 1734.730
242.052, 1738.350
242.534, 1747.658
243.016, 1760.475
243.499, 1779.770
243.981, 1809.271
244.463, 1847.100
244.945, 1895.969
245.427, 1956.629
245.909, 2028.299
246.391, 2112.287
246.873, 2237.166
247.355, 2355.379
247.838, 2379.443
248.320, 2255.102
248.802, 2127.977
249.284, 2046.195
249.766, 2023.488
250.248, 2002.811
250.730, 1991.260
251.212, 1979.766
251.695, 1948.359
252.177, 1882.723
252.659, 1826.143
253.141, 1799.854
253.623, 1822.256
254.105, 1821.584
254.587, 1792.391
255.069, 1744.732
255.551, 1697.658
256.034, 1647.602
256.516, 1604.680
256.998, 1572.078
257.480, 1548.992
257.962, 1536.805
258.444, 1531.650
258.926, 1537.566
259.408, 1571.000
259.891, 1652.756
260.373, 1718.000
260.855, 1727.404
261.337, 1647.553
261.819, 1616.840
262.301, 1661.057
262.783, 1741.467
263.265, 1756.010
263.747, 1675.174
264.229, 1591.035
264.712, 1547.801
265.194, 1558.014
265.676, 1567.398
266.158, 1582.764
266.640, 1592.168
267.122, 1561.496
267.604, 1480.920
268.086, 1387.787
268.569, 1296.330
269.051, 1200.646
269.533, 1135.465
270.015, 1115.891
270.497, 1120.664
270.979, 1094.793
271.461, 1032.637
271.943, 958.607
272.426, 877.719
272.908, 782.279
273.390, 726.084
273.872, 730.027
274.354, 764.840
274.836, 761.604
275.318, 714.939
275.800, 650.590
276.282, 577.760
276.765, 493.781
277.247, 421.398
277.729, 359.045
278.211, 311.084
278.693, 295.047
279.175, 316.518
279.657, 336.979
280.139, 330.713
280.621, 296.639
281.104, 267.717
281.586, 245.730
282.068, 230.252
282.550, 221.586
283.032, 220.211
283.514, 220.273
283.996, 225.898
284.478, 235.670
284.961, 217.463
285.443, 161.926
285.925, 89.195
286.407, 36.033
286.889, 2.457
287.371, 16.082
287.853, 16.006
288.335, 0.059
288.818, 12.801
289.300, 22.385
289.782, 25.125
290.264, 5.682
290.746, 34.451
291.228, 62.324
291.710, 38.326
292.192, 17.895
292.674, 21.459
293.156, 49.801
293.639, 137.846
294.121, 147.008
294.603, 86.277
295.085, 20.801
295.567, 21.793
296.049, 41.879
296.531, 33.006
297.013, 12.604
297.496, 59.916
297.978, 59.582
298.460, 19.572
298.942, 24.672
299.424, 43.365
299.906, 55.580
300.388, 100.785
300.870, 186.875
301.353, 282.018
301.835, 350.785
302.317, 398.021
302.799, 444.736
303.281, 495.525
303.763, 552.035
304.245, 615.678
304.727, 687.400
305.209, 768.467
305.691, 868.131
306.174, 973.789
306.656, 1058.932
307.138, 1105.814
307.620, 1130.945
308.102, 1149.549
308.584, 1163.838
309.066, 1175.973
309.548, 1171.035
310.031, 1166.557
310.513, 1191.859
310.995, 1302.512
311.477, 1420.023
311.959, 1479.959
312.441, 1474.645
312.923, 1459.486
313.405, 1452.699
313.888, 1460.150
314.370, 1489.447
314.852, 1552.961
315.334, 1629.297
315.816, 1717.201
316.298, 1817.693
316.780, 1894.170
317.262, 1911.744
317.744, 1905.801
318.227, 1913.744
318.709, 1941.018
319.191, 1993.717
319.673, 2090.676
320.155, 2231.633
320.637, 2347.961
321.119, 2382.074
321.601, 2402.008
322.083, 2464.855
322.566, 2643.348
323.048, 2800.785
323.530, 2893.473
324.012, 2924.291
324.494, 2969.436
324.976, 3041.922
325.458, 3130.201
325.940, 3226.840
326.422, 3370.674
326.905, 3476.488
327.387, 3512.549
327.869, 3488.244
328.351, 3495.617
328.833, 3581.818
329.315, 3663.551
329.797, 3693.908
330.280, 3608.145
330.762, 3568.301
331.244, 3615.834
331.726, 3719.865
332.208, 3747.961
332.690, 3648.121
333.172, 3535.637
333.654, 3471.115
334.136, 3493.863
334.618, 3477.234
335.101, 3408.695
335.583, 3303.094
336.065, 3194.795
336.547, 3071.705
337.029, 2969.305
337.511, 2917.123
337.993, 2937.215
338.475, 2897.504
338.958, 2774.311
339.440, 2615.230
339.922, 2519.709
340.404, 2503.117
340.886, 2473.293
341.368, 2383.096
341.850, 2232.678
342.332, 2098.893
342.815, 1989.238
343.297, 1885.510
343.779, 1749.561
344.261, 1580.342
344.743, 1459.248
345.225, 1448.725
345.707, 1517.465
346.189, 1504.141
346.671, 1399.436
347.154, 1271.521
347.636, 1188.094
348.118, 1143.447
348.600, 1105.521
349.082, 1061.705
349.564, 1020.576
350.046, 999.416
350.528, 994.906
351.010, 985.869
351.493, 955.045
351.975, 909.836
352.457, 859.551
352.939, 796.986
353.421, 737.859
353.903, 711.701
354.385, 712.389
354.867, 700.449
355.349, 648.463
355.832, 572.188
356.314, 486.672
356.796, 384.422
357.278, 292.182
357.760, 231.840
358.242, 199.191
358.724, 177.264
359.207, 160.900
359.689, 150.096
360.171, 148.889
360.653, 167.230
361.135, 169.182
361.617, 114.025
362.099, 32.541
362.581, 16.340
363.063, 15.910
363.546, 59.492
364.028, 84.754
364.510, 86.881
364.992, 77.027
365.474, 46.604
365.956, 8.930
366.438, 19.174
366.920, 19.014
367.402, 24.641
367.885, 50.412
368.367, 102.096
368.849, 129.629
369.331, 108.521
369.813, 76.658
370.295, 66.496
370.777, 101.479
371.259, 124.193
371.741, 127.135
372.224, 111.355
372.706, 85.266
373.188, 41.521
373.670, 0.910
374.152, 23.686
374.634, 9.760
375.116, 27.457
375.598, 95.715
376.081, 193.012
376.563, 258.709
377.045, 291.084
377.527, 297.201
378.009, 262.510
378.491, 184.047
378.973, 169.564
379.455, 243.197
379.938, 348.160
380.420, 375.121
380.902, 325.150
381.384, 290.951
381.866, 328.500
382.348, 420.867
382.830, 494.438
383.312, 546.697
383.794, 594.766
384.276, 652.605
384.759, 720.518
385.241, 798.250
385.723, 891.986
386.205, 990.621
386.687, 1076.389
387.169, 1148.709
387.651, 1218.143
388.134, 1289.107
388.616, 1360.816
389.098, 1433.609
389.580, 1506.441
390.062, 1579.842
390.544, 1656.002
391.026, 1734.029
391.508, 1806.561
391.990, 1876.746
392.473, 1937.207
392.955, 1980.596
393.437, 1996.549
393.919, 2018.246
394.401, 2070.619
394.883, 2137.840
395.365, 2189.508
395.847, 2191.232
396.329, 2198.662
396.812, 2239.414
397.294, 2327.180
397.776, 2400.506
398.258, 2439.318
398.740, 2462.662
399.222, 2491.744
399.704, 2553.324
400.186, 2588.936
400.668, 2579.607
401.151, 2524.957
401.633, 2484.119
402.115, 2461.572
402.597, 2448.688
403.079, 2440.576
403.561, 2441.135
404.043, 2439.016
404.525, 2438.309
405.008, 2433.176
405.490, 2398.285
405.972, 2324.836
406.454, 2249.455
406.936, 2190.762
407.418, 2148.840
407.900, 2115.457
408.382, 2090.789
408.865, 2072.127
409.347, 2064.137
409.829, 2065.449
410.311, 2045.221
410.793, 1971.064
411.275, 1864.795
411.757, 1797.904
412.239, 1772.072
412.721, 1758.469
413.203, 1731.215
413.686, 1694.246
414.168, 1656.605
414.650, 1610.074
415.132, 1574.223
415.614, 1589.037
416.096, 1643.527
416.578, 1673.857
417.060, 1613.783
417.543, 1519.477
418.025, 1450.877
418.507, 1429.199
418.989, 1413.137
419.471, 1379.760
419.953, 1334.123
420.435, 1289.504
420.917, 1242.730
421.400, 1214.963
421.882, 1223.285
422.364, 1279.709
422.846, 1324.986
423.328, 1352.008
423.810, 1357.873
424.292, 1341.391
424.774, 1264.555
425.256, 1212.508
425.738, 1205.863
426.221, 1241.363
426.703, 1264.775
427.185, 1273.182
427.667, 1279.033
428.149, 1286.475
428.631, 1287.545
429.113, 1303.381
429.595, 1346.189
430.078, 1401.092
430.560, 1422.264
431.042, 1403.184
431.524, 1384.127
432.006, 1382.633
432.488, 1396.645
432.970, 1418.039
433.452, 1449.754
433.935, 1483.285
434.417, 1512.244
434.899, 1535.986
435.381, 1547.225
435.863, 1534.105
436.345, 1513.279
436.827, 1520.412
437.309, 1553.947
437.791, 1585.061
438.274, 1587.748
438.756, 1574.178
439.238, 1562.883
439.720, 1560.303
440.202, 1555.848
440.684, 1522.199
441.166, 1477.656
441.648, 1469.658
442.130, 1555.027
442.613, 1658.584
443.095, 1723.367
443.577, 1728.566
444.059, 1773.732
444.541, 1773.090
445.023, 1814.461
445.505, 1845.693
445.987, 1867.332
446.470, 1850.512
446.952, 1882.791
447.434, 1885.146
447.916, 1896.031
448.398, 1915.408
448.880, 1944.025
449.362, 1986.213
449.844, 2061.359
450.327, 2103.096
450.809, 2092.277
451.291, 2057.336
451.773, 2068.945
452.255, 2145.328
452.737, 2201.129
453.219, 2186.818
453.701, 2106.395
454.183, 2083.924
454.665, 2129.836
455.148, 2184.934
455.630, 2185.791
456.112, 2137.922
456.594, 2075.438
457.076, 1996.615
457.558, 1919.387
458.040, 1881.320
458.522, 1877.311
459.005, 1871.945
459.487, 1853.324
459.969, 1815.525
460.451, 1741.234
460.933, 1617.309
461.415, 1500.586
461.897, 1447.568
462.379, 1428.818
462.862, 1396.334
463.344, 1314.168
463.826, 1229.123
464.308, 1172.768
464.790, 1146.480
465.272, 1095.666
465.754, 957.857
466.236, 820.346
466.718, 744.145
467.201, 825.439
467.683, 854.779
468.165, 790.527
468.647, 669.521
469.129, 593.625
469.611, 586.537
470.093, 588.732
470.575, 581.488
471.057, 565.141
471.540, 531.391
472.022, 476.748
472.504, 410.305
472.986, 335.748
473.468, 250.828
473.950, 192.029
474.432, 176.057
474.914, 185.527
475.397, 178.588
475.879, 155.977
476.361, 123.436
476.843, 80.996
477.325, 33.141
477.807, 10.301
478.289, 47.168
478.771, 80.949
479.254, 125.086
479.736, 167.553
480.218, 185.268
480.700, 147.664
481.182, 98.115
481.664, 68.039
482.146, 56.795
482.628, 42.232
483.110, 13.668
483.592, 18.107
484.075, 45.256
484.557, 64.623
485.039, 78.373
485.521, 81.611
486.003, 78.217
486.485, 78.391
486.967, 88.516
487.449, 93.754
487.931, 88.734
488.414, 72.955
488.896, 63.453
489.378, 66.543
489.860, 68.482
490.342, 54.602
490.824, 23.430
491.306, 6.037
491.789, 35.486
492.271, 55.248
492.753, 37.221
493.235, 17.988
493.717, 73.717
494.199, 112.885
494.681, 136.971
495.163, 150.195
495.645, 152.299
496.128, 142.299
496.610, 96.191
497.092, 40.793
497.574, 24.160
498.056, 97.541
498.538, 176.451
499.020, 200.193
499.502, 182.877
499.984, 175.211
500.467, 216.713
500.949, 259.430
501.431, 271.381
501.913, 231.742
502.395, 214.172
502.877, 238.246
503.359, 285.205
503.841, 333.279
504.323, 383.621
504.806, 432.008
505.288, 477.639
505.770, 519.504
506.252, 557.984
506.734, 596.709
507.216, 620.717
507.698, 607.648
508.181, 555.596
508.663, 548.297
509.145, 599.080
509.627, 669.154
510.109, 711.414
510.591, 728.414
511.073, 734.088
511.555, 731.023
512.037, 722.254
512.519, 707.234
513.002, 688.297
513.484, 678.512
513.966, 680.564
514.448, 699.111
514.930, 745.176
515.412, 833.096
515.894, 907.787
516.376, 931.299
516.859, 927.508
517.341, 931.580
517.823, 959.057
518.305, 987.482
518.787, 1007.541
519.269, 1019.445
519.751, 1043.002
520.233, 1082.869
520.716, 1129.600
521.198, 1180.469
521.680, 1243.102
522.162, 1288.469
522.644, 1314.373
523.126, 1325.605
523.608, 1323.902
524.090, 1307.434
524.572, 1301.889
525.055, 1318.045
525.537, 1349.740
526.019, 1375.225
526.501, 1394.834
526.983, 1427.176
527.465, 1496.793
527.947, 1585.592
528.429, 1664.248
528.911, 1727.930
529.394, 1780.424
529.876, 1824.213
530.358, 1859.080
530.840, 1885.414
531.322, 1874.723
531.804, 1882.230
532.286, 1953.539
532.768, 2078.209
533.250, 2165.865
533.733, 2157.641
534.215, 2139.057
534.697, 2155.053
535.179, 2223.781
535.661, 2290.164
536.143, 2360.650
536.625, 2423.789
