##NAMES=Burangaite
##RRUFFID=R070408
##IDEAL CHEMISTRY=NaFe^2+^Al_5_(PO_4_)_4_(OH)_6_&#183;2H_2_O
##LOCALITY=Buranga pegmatite, Gatumba District, Gisenyi Province, Rwanda
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Blue to blue-green prismatic, co-type specimen. This is the piece used by Selway et al (1997) to determine structure.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070408
141.9480, 0.0000000E+00
142.4301, 1.007324
142.9122, 0.3801270
143.3943, 1.755859
143.8764, 6.4208999E-02
144.3585, 3.856445
144.8407, 0.5361330
145.3228, 12.20508
145.8049, 31.75562
146.2870, 60.28369
146.7691, 106.0442
147.2512, 148.5078
147.7334, 182.8921
148.2155, 208.0403
148.6976, 232.2869
149.1797, 257.0959
149.6618, 280.3196
150.1439, 299.0146
150.6261, 313.4844
151.1082, 322.5903
151.5903, 324.1719
152.0724, 311.9021
152.5545, 306.1912
153.0366, 306.0132
153.5188, 313.4541
154.0009, 333.3479
154.4830, 377.9404
154.9651, 427.5027
155.4472, 473.0488
155.9293, 508.6340
156.4115, 545.5815
156.8936, 583.6606
157.3757, 624.3240
157.8578, 672.9976
158.3399, 735.3118
158.8221, 803.7971
159.3042, 874.1978
159.7863, 945.8826
160.2684, 1018.960
160.7505, 1090.431
161.2326, 1162.008
161.7148, 1241.750
162.1969, 1337.508
162.6790, 1441.924
163.1611, 1546.595
163.6432, 1652.249
164.1253, 1755.805
164.6075, 1852.923
165.0896, 1943.355
165.5717, 2050.572
166.0538, 2179.021
166.5359, 2318.730
167.0180, 2457.065
167.5002, 2573.092
167.9823, 2667.707
168.4644, 2751.583
168.9465, 2828.801
169.4286, 2863.295
169.9107, 2834.538
170.3929, 2756.104
170.8750, 2648.081
171.3571, 2492.317
171.8392, 2323.566
172.3213, 2175.090
172.8034, 2051.873
173.2856, 1951.075
173.7677, 1867.602
174.2498, 1803.724
174.7319, 1768.216
175.2140, 1785.387
175.6961, 1829.648
176.1783, 1864.887
176.6604, 1888.724
177.1425, 1893.376
177.6246, 1865.562
178.1067, 1807.582
178.5888, 1732.567
179.0710, 1653.171
179.5531, 1564.721
180.0352, 1455.007
180.5173, 1312.955
180.9994, 1157.726
181.4815, 1020.770
181.9637, 900.8093
182.4458, 794.1860
182.9279, 698.2700
183.4100, 612.5540
183.8921, 533.4624
184.3742, 459.9370
184.8564, 392.2117
185.3385, 333.6978
185.8206, 284.2380
186.3027, 240.3057
186.7848, 200.6665
187.2669, 164.4932
187.7491, 123.8752
188.2312, 67.58618
188.7133, 4.493896
189.1954, 28.91650
189.6775, 28.24170
190.1596, 16.68066
190.6418, 25.58105
191.1239, 54.23755
191.6060, 74.94165
192.0881, 72.04297
192.5702, 48.63867
193.0524, 31.47998
193.5345, 20.97876
194.0166, 15.74487
194.4987, 16.94458
194.9808, 25.31616
195.4629, 29.42773
195.9451, 21.57129
196.4272, 1.870850
196.9093, 13.93799
197.3914, 25.72168
197.8735, 33.06421
198.3556, 32.08862
198.8378, 20.75586
199.3199, 14.02881
199.8020, 23.16553
200.2841, 48.82642
200.7662, 69.80444
201.2483, 82.67676
201.7305, 92.16333
202.2126, 110.2502
202.6947, 138.3577
203.1768, 170.1665
203.6589, 202.4773
204.1410, 234.9290
204.6232, 268.3950
205.1053, 303.9719
205.5874, 340.1499
206.0695, 371.6450
206.5516, 397.6157
207.0337, 421.1074
207.5159, 445.3096
207.9980, 471.1292
208.4801, 490.9641
208.9622, 503.8047
209.4443, 509.9297
209.9264, 510.8735
