##NAMES=Cafetite
##RRUFFID=R060872
##IDEAL CHEMISTRY=CaTi_2_O_5_&#183;H_2_O
##LOCALITY=Magnet Cove, Arkansas, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale brown colored pseudohexagonal plates, associated with pectolite and albite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060872
193.8405, 0.0000000E+00
194.3226, 4.880371
194.8047, 1.485840
195.2868, 20.33301
195.7689, 40.81445
196.2511, 53.85449
196.7332, 65.26172
197.2153, 90.26807
197.6974, 128.7920
198.1795, 172.0815
198.6616, 218.1948
199.1438, 270.5229
199.6259, 314.1074
200.1080, 338.3521
200.5901, 347.6011
201.0722, 358.5815
201.5543, 370.9517
202.0364, 387.4932
202.5186, 416.5894
203.0007, 462.6021
203.4828, 487.2666
203.9649, 484.5269
204.4470, 476.0288
204.9291, 488.9819
205.4113, 508.2192
205.8934, 506.5610
206.3755, 480.3647
206.8576, 425.8066
207.3397, 370.2407
207.8218, 318.1211
208.3040, 269.6055
208.7861, 226.7188
209.2682, 190.2188
209.7503, 159.0542
210.2324, 132.8457
210.7145, 112.8481
211.1967, 95.28027
211.6788, 80.87500
212.1609, 70.06982
212.6430, 53.31348
213.1251, 28.81396
213.6072, 1.166992
214.0894, 25.82227
214.5715, 55.21094
215.0536, 76.15869
215.5357, 86.00977
216.0178, 85.00000
216.4999, 72.33301
216.9820, 46.91211
217.4642, 11.53906
217.9463, 32.20410
218.4284, 88.44434
218.9105, 141.9951
219.3926, 185.0537
219.8747, 211.6685
220.3569, 253.9121
220.8390, 316.9570
221.3211, 391.9541
221.8032, 466.7300
222.2853, 539.4775
222.7674, 614.6304
223.2496, 694.9150
223.7317, 786.5005
224.2138, 864.7456
224.6959, 924.2461
225.1780, 973.7842
225.6601, 1034.142
226.1423, 1108.957
226.6244, 1187.734
227.1065, 1267.704
227.5886, 1356.700
228.0707, 1427.346
228.5528, 1473.023
229.0350, 1502.681
229.5171, 1539.468
229.9992, 1591.037
230.4813, 1638.705
230.9634, 1670.525
231.4455, 1666.610
231.9276, 1694.238
232.4098, 1770.357
232.8919, 1876.104
233.3740, 1948.567
233.8561, 1964.079
234.3382, 1981.511
234.8203, 2031.216
235.3025, 2132.787
235.7846, 2224.474
236.2667, 2301.353
236.7488, 2367.858
237.2309, 2435.594
237.7130, 2497.306
238.1952, 2569.246
238.6773, 2662.960
239.1594, 2797.447
239.6415, 2912.589
240.1236, 2998.288
240.6057, 3062.565
241.0879, 3140.697
241.5700, 3233.945
242.0521, 3338.241
242.5342, 3455.443
243.0163, 3606.158
243.4984, 3725.480
243.9806, 3799.280
244.4627, 3836.869
244.9448, 3883.702
245.4269, 3947.418
245.9090, 4009.816
246.3911, 4060.568
246.8732, 4095.544
247.3554, 4127.077
247.8375, 4159.694
248.3196, 4189.974
248.8017, 4200.036
249.2838, 4183.701
249.7659, 4155.413
250.2481, 4122.526
250.7302, 4081.646
251.2123, 4045.681
251.6944, 4020.261
252.1765, 4002.535
252.6586, 3961.854
253.1408, 3887.294
253.6229, 3805.869
254.1050, 3736.591
254.5871, 3694.222
255.0692, 3630.595
255.5513, 3535.817
256.0334, 3415.770
256.5156, 3297.497
256.9977, 3180.091
257.4798, 3064.661
257.9619, 2952.171
258.4440, 2842.036
258.9261, 2732.678
259.4083, 2622.043
259.8904, 2510.437
260.3725, 2403.360
260.8546, 2297.757
261.3367, 2199.177
261.8188, 2112.128
262.3010, 2038.408
262.7831, 1967.627
263.2652, 1896.442
263.7473, 1827.251
264.2294, 1769.585
264.7115, 1728.431
265.1937, 1690.427
265.6758, 1642.555
266.1579, 1576.478
266.6400, 1534.641
267.1221, 1528.614
267.6042, 1550.205
268.0864, 1563.167
268.5685, 1565.508
269.0506, 1564.188
269.5327, 1559.752
270.0148, 1547.110
270.4969, 1555.905
270.9791, 1593.884
271.4612, 1654.672
271.9433, 1711.417
272.4254, 1762.062
272.9075, 1813.788
273.3896, 1872.345
273.8718, 1938.935
274.3539, 2005.951
274.8360, 2074.003
275.3181, 2142.545
275.8002, 2209.089
276.2823, 2273.027
276.7645, 2335.421
277.2466, 2398.119
277.7287, 2461.333
278.2108, 2521.613
278.6929, 2580.510
279.1750, 2634.996
279.6572, 2673.146
280.1393, 2691.641
280.6214, 2710.957
281.1035, 2746.350
281.5856, 2797.953
282.0677, 2849.982
282.5499, 2906.462
283.0320, 2956.817
283.5141, 2968.558
283.9962, 2937.716
284.4783, 2904.776
284.9604, 2901.230
285.4425, 2924.356
285.9247, 2929.851
286.4068, 2910.463
286.8889, 2877.112
287.3710, 2851.305
287.8531, 2834.111
288.3352, 2813.822
288.8174, 2779.344
289.2995, 2733.790
289.7816, 2696.789
290.2637, 2672.500
290.7458, 2653.812
291.2279, 2631.769
291.7101, 2606.226
292.1922, 2575.750
292.6743, 2533.220
293.1564, 2484.284
293.6385, 2450.991
294.1206, 2438.130
294.6028, 2433.047
295.0849, 2418.281
295.5670, 2395.509
296.0491, 2373.916
296.5312, 2358.056
297.0133, 2347.474
297.4955, 2341.960
297.9776, 2342.429
298.4597, 2345.605
298.9418, 2352.476
299.4239, 2360.356
299.9060, 2359.578
300.3882, 2335.859
300.8703, 2302.729
301.3524, 2284.603
301.8345, 2284.069
302.3166, 2286.758
302.7987, 2278.579
303.2809, 2262.573
303.7630, 2245.973
304.2451, 2243.277
304.7272, 2236.267
305.2093, 2195.152
305.6914, 2115.517
306.1736, 2040.535
306.6557, 2015.843
307.1378, 2017.338
307.6199, 2002.634
308.1020, 1941.726
308.5841, 1865.206
309.0663, 1799.939
309.5484, 1745.753
310.0305, 1690.667
310.5126, 1621.018
310.9947, 1546.861
311.4768, 1482.854
311.9590, 1441.957
312.4411, 1405.621
312.9232, 1362.118
313.4053, 1311.663
313.8874, 1263.235
314.3695, 1223.848
314.8517, 1186.477
315.3337, 1144.267
315.8159, 1079.638
316.2980, 1023.912
316.7801, 995.5996
317.2622, 990.3140
317.7443, 979.5894
318.2264, 949.0942
318.7086, 911.8228
319.1907, 877.5337
319.6728, 838.4175
320.1549, 813.0801
320.6370, 815.6821
321.1191, 838.4614
321.6013, 850.7256
322.0834, 840.5044
322.5655, 819.6836
323.0476, 793.6748
323.5297, 762.7041
324.0118, 727.7148
324.4940, 682.5684
324.9761, 634.1504
325.4582, 599.7686
325.9403, 599.4058
326.4224, 598.2881
326.9045, 580.4014
327.3867, 526.7949
327.8688, 488.1416
328.3509, 478.4043
328.8330, 483.1953
329.3151, 475.7036
329.7972, 442.0415
330.2794, 411.2231
330.7615, 395.1533
331.2436, 405.5225
331.7257, 391.7100
332.2078, 336.6846
332.6899, 267.0459
333.1721, 221.7012
333.6542, 216.2095
334.1363, 209.2974
334.6184, 187.6138
335.1005, 148.8989
335.5826, 125.6206
336.0648, 127.4009
336.5469, 133.0581
337.0290, 116.2451
337.5111, 66.30859
337.9932, 25.75635
338.4753, 6.362793
338.9575, 5.748535
339.4396, 0.1572270
339.9217, 12.28711
340.4038, 25.46045
340.8859, 34.57666
341.3680, 39.43359
341.8502, 40.94336
342.3323, 38.48828
342.8144, 32.97949
343.2965, 28.64746
343.7786, 26.22705
344.2607, 18.76416
344.7429, 2.547363
345.2250, 36.13184
345.7071, 64.04004
346.1892, 82.69727
346.6713, 96.94580
347.1534, 115.8398
347.6355, 139.1641
348.1176, 163.9893
348.5998, 191.2549
