##NAMES=Chlorartinite
##RRUFFID=R060878
##IDEAL CHEMISTRY=Mg_2_CO_3_Cl(OH)&#183;2.5H_2_O
##LOCALITY=500m level, Quarry of Udachnaya-Vostochnaya pipe, Yakutia, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White fibrous mass, associated with larger crystals of aragonite
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R060878
177.1069, 0.0000000E+00
177.5890, 0.2240140
178.0711, 0.2321470
178.5532, 0.6048280
179.0353, 2.345276
179.5175, 4.177223
179.9996, 5.283981
180.4817, 6.152542
180.9638, 7.968430
181.4459, 11.05190
181.9280, 14.52656
182.4102, 17.43356
182.8923, 19.73787
183.3744, 21.71843
183.8565, 23.56949
184.3386, 25.20729
184.8207, 26.29810
185.3029, 26.74377
185.7850, 26.73875
186.2671, 26.56149
186.7492, 26.20939
187.2313, 25.72052
187.7134, 24.99162
188.1956, 24.09802
188.6777, 23.42706
189.1598, 23.03651
189.6419, 22.89432
190.1240, 22.93629
190.6061, 23.16470
191.0883, 23.57111
191.5704, 24.11995
192.0525, 24.82628
192.5346, 25.80745
193.0167, 27.11659
193.4988, 28.58783
193.9810, 29.64516
194.4631, 30.19363
194.9452, 30.58600
195.4273, 30.38808
195.9094, 29.61972
196.3915, 29.14193
196.8737, 29.14394
197.3558, 29.53011
197.8379, 30.05345
198.3200, 30.75616
198.8021, 31.41719
199.2842, 31.83505
199.7664, 32.01285
200.2485, 32.06416
200.7306, 31.92089
201.2127, 31.66766
201.6948, 31.84610
202.1769, 32.55017
202.6591, 33.39336
203.1412, 33.91812
203.6233, 34.04529
204.1054, 34.50929
204.5875, 35.65607
205.0696, 37.35376
205.5518, 38.31616
206.0339, 38.36765
206.5160, 38.09848
206.9981, 38.10693
207.4802, 38.43985
207.9623, 38.85836
208.4445, 39.50447
208.9266, 40.33410
209.4087, 40.01173
209.8908, 38.09860
210.3729, 35.84183
210.8550, 34.73248
211.3372, 35.18287
211.8193, 35.34107
212.3014, 34.68368
212.7835, 33.21904
213.2656, 31.83711
213.7477, 30.48193
214.2299, 29.27536
214.7120, 28.42260
215.1941, 28.04152
215.6762, 27.64366
216.1583, 27.04681
216.6404, 26.23135
217.1226, 25.72368
217.6047, 25.71717
218.0868, 25.78613
218.5689, 25.36091
219.0510, 24.19379
219.5331, 23.20512
220.0153, 22.55559
220.4974, 22.24924
220.9795, 21.75813
221.4616, 20.94775
221.9437, 19.98723
222.4258, 19.09048
222.9080, 18.40257
223.3901, 17.61552
223.8722, 16.34540
224.3543, 14.44192
224.8364, 13.16012
225.3185, 12.74933
225.8007, 12.74393
226.2828, 12.55927
226.7649, 12.07275
227.2470, 11.35838
227.7291, 10.68726
228.2112, 9.941437
228.6934, 9.291496
229.1755, 8.935829
229.6576, 8.894775
230.1397, 8.802254
230.6218, 8.540611
231.1039, 8.369652
231.5861, 8.325905
232.0682, 8.442139
232.5503, 8.523415
233.0324, 8.594063
233.5145, 8.616165
233.9966, 8.548538
234.4788, 8.331543
234.9609, 8.009102
235.4430, 7.741226
235.9251, 7.510811
236.4072, 7.617683
236.8893, 8.375938
237.3715, 9.222534
237.8536, 9.349670
238.3357, 8.085960
238.8178, 7.238663
239.2999, 7.378326
239.7820, 8.673347
240.2642, 9.633850
240.7463, 10.24073
241.2284, 10.56307
241.7105, 10.61858
242.1926, 10.14912
242.6747, 9.838203
243.1569, 9.811203
243.6390, 10.06581
244.1211, 10.69172
244.6032, 11.97655
245.0853, 13.38434
245.5674, 14.26455
246.0496, 14.31789
246.5317, 14.38519
247.0138, 14.68312
247.4959, 15.24442
247.9780, 15.68156
248.4601, 16.02614
248.9423, 16.22807
249.4244, 16.21961
249.9065, 15.93993
250.3886, 15.58015
250.8707, 15.17239
251.3528, 14.72697
251.8350, 14.24980
252.3171, 13.75687
252.7992, 13.20651
253.2813, 12.55229
253.7634, 11.81436
254.2455, 10.94081
254.7277, 9.896797
255.2098, 8.672913
255.6919, 7.380890
256.1740, 5.822052
256.6561, 4.437943
257.1382, 3.764854
257.6204, 4.186485
258.1025, 4.364014
258.5846, 3.994415
259.0667, 3.104431
259.5488, 2.280853
260.0309, 1.559853
260.5131, 0.8807980
260.9952, 0.1561200
261.4773, 0.7571640
261.9594, 1.309685
262.4415, 1.282562
262.9236, 0.7517930
263.4058, 0.5180890
263.8879, 0.6925660
264.3700, 0.9708250
264.8521, 1.121780
265.3342, 1.111099
265.8163, 1.077339
266.2985, 1.041702
266.7806, 0.9993740
267.2627, 0.8925550
267.7448, 0.6633000
268.2269, 0.5059890
268.7090, 0.6407780
269.1912, 1.204498
269.6733, 1.441269
270.1554, 1.156357
270.6375, 0.5103380
271.1196, 0.1516800
271.6017, 0.1471710
272.0839, 0.2583080
272.5660, 0.3242950
273.0481, 0.3281100
