##NAMES=Cryolite
##RRUFFID=R120026
##IDEAL CHEMISTRY=Na_3_AlF_6_
##LOCALITY=Francon quarry, Montréal, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Colorless, pseudo-octahedral crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120026
196.5579, 0.0000000E+00
197.0400, 0.2274320
197.5221, 0.1965940
198.0042, 5.6961000E-02
198.4863, 5.6759999E-03
198.9684, 0.3771060
199.4506, 1.001907
199.9327, 2.024704
200.4148, 3.090866
200.8969, 3.193359
201.3790, 2.118515
201.8611, 1.249542
202.3433, 1.766861
202.8254, 3.886276
203.3075, 4.647873
203.7896, 3.362488
204.2717, 1.003754
204.7538, 0.1374050
205.2360, 1.034103
205.7181, 2.381012
206.2002, 3.456665
206.6823, 4.226990
207.1644, 4.946060
207.6465, 5.708359
208.1287, 6.385651
208.6108, 6.461472
209.0929, 5.635223
209.5750, 5.027634
210.0571, 5.565811
210.5392, 7.664505
211.0214, 8.911041
211.5035, 8.854813
211.9856, 7.903214
212.4677, 7.515457
212.9498, 7.980881
213.4319, 8.347946
213.9141, 7.946289
214.3962, 6.486923
214.8783, 5.309738
215.3604, 4.535751
215.8425, 4.129318
216.3246, 3.997330
216.8067, 4.208084
217.2889, 4.555786
217.7710, 4.873550
218.2531, 5.028320
218.7352, 5.605270
219.2173, 6.918884
219.6994, 8.694885
220.1816, 9.610962
220.6637, 9.554581
221.1458, 8.870255
221.6279, 7.599869
222.1100, 5.210846
222.5921, 3.628113
223.0743, 3.129242
223.5564, 3.553635
224.0385, 4.224884
224.5206, 5.343872
225.0027, 6.375961
225.4848, 7.010971
225.9670, 7.185349
226.4491, 7.020142
226.9312, 6.382507
227.4133, 5.454483
227.8954, 5.646042
228.3775, 8.207565
228.8597, 10.40331
229.3418, 10.79506
229.8239, 8.351181
230.3060, 6.722290
230.7881, 6.538223
231.2702, 7.413666
231.7524, 7.468628
232.2345, 6.097275
232.7166, 4.691208
233.1987, 4.173676
233.6808, 4.994629
234.1629, 5.753265
234.6451, 6.296783
235.1272, 6.660217
235.6093, 6.762405
