##NAMES=Diamond
##RRUFFID=R050205
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal, type IIA
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050205
161.4440, 0.0000000E+00
162.8300, 36.88220
164.2170, 9.689209
165.6020, 61.22131
166.9880, 32.91016
168.3740, 50.50781
169.7590, 20.26270
171.1440, 11.09082
172.5280, 1.235229
173.9130, 16.61743
175.2970, 5.821655
176.6810, 27.01868
178.0650, 23.36731
179.4490, 34.74194
180.8320, 15.01599
182.2150, 17.21021
183.5980, 16.82556
184.9810, 3.529175
186.3630, 13.32190
187.7450, 1.689941
189.1270, 24.77246
190.5090, 49.71472
191.8910, 57.19885
193.2720, 46.90710
194.6530, 93.70422
196.0340, 49.55530
197.4140, 88.27930
198.7950, 51.89392
200.1750, 47.70874
201.5550, 60.03516
202.9350, 59.36084
204.3140, 53.19897
205.6930, 17.72485
207.0720, 54.06116
208.4510, 41.54529
209.8300, 18.91931
211.2080, 79.38586
212.5860, 14.39673
213.9640, 19.69568
215.3420, 48.07532
216.7190, 15.05994
218.0960, 31.19397
219.4730, 37.19470
220.8500, 18.19568
222.2260, 16.09814
223.6030, 9.992310
224.9790, 13.29651
226.3550, 12.37744
227.7300, 3.676025
229.1050, 20.34460
230.4810, 22.47852
231.8560, 14.31653
233.2300, 32.14966
234.6050, 17.03357
235.9790, 32.36597
237.3530, 26.44873
238.7270, 10.24841
240.1000, 37.26990
241.4740, 28.21082
242.8470, 4.259399
244.2200, 8.081543
245.5920, 5.099121
246.9650, 4.184448
248.3370, 9.644165
249.7090, 31.15540
251.0800, 23.96094
252.4520, 26.76868
253.8230, 19.57861
255.1940, 18.40002
256.5650, 57.78113
257.9360, 18.55078
259.3060, 19.43018
260.6760, 23.20068
262.0460, 13.97974
263.4160, 48.82727
264.7850, 25.65564
266.1550, 16.42383
267.5240, 13.19080
268.8920, 20.03320
270.2610, 29.84216
271.6290, 39.60278
272.9970, 25.36121
274.3650, 23.11731
275.7330, 52.87048
277.1000, 25.61792
278.4680, 24.35999
279.8350, 35.10022
281.2010, 58.84229
282.5680, 60.58533
283.9340, 91.32922
285.3000, 46.07275
286.6660, 21.81079
288.0320, 6.543091
289.3970, 11.38171
290.7620, 37.12842
292.1270, 22.85657
293.4920, 31.68872
294.8570, 14.40015
296.2210, 55.11365
297.5850, 5.825195
298.9490, 37.68945
300.3120, 64.47668
301.6760, 48.23682
303.0390, 62.02173
304.4020, 50.24756
305.7650, 48.48682
307.1270, 24.19788
308.4890, 9.905640
309.8510, 2.611206
311.2130, 30.31946
312.5750, 4.029907
313.9360, 46.72852
315.2970, 54.42603
316.6580, 6.178589
318.0190, 28.95679
319.3790, 15.24805
320.7400, 39.81250
322.1000, 14.59778
323.4600, 21.26770
324.8190, 43.92554
326.1780, 48.15271
327.5380, 10.32336
328.8970, 1.455566
330.2550, 17.57092
331.6140, 0.6143800
332.9720, 34.63220
334.3300, 56.63684
335.6880, 10.39771
337.0450, 35.32788
