##NAMES=Diamond
##RRUFFID=R050207
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal,  type I
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050207
93.90051, 0.0000000E+00
94.38263, 4.9093001E-02
94.86475, 1.2863000E-02
95.34686, 4.185194
95.82898, 8.591005
96.31110, 9.412648
96.79321, 6.991009
97.27533, 5.428249
97.75745, 5.640414
98.23956, 7.136158
98.72168, 7.652136
99.20380, 6.931355
99.68591, 6.021412
100.1680, 7.216722
100.6501, 7.842421
101.1323, 7.838023
101.6144, 7.189891
102.0965, 4.061147
102.5786, 2.034279
103.0607, 1.470909
103.5428, 1.715719
104.0250, 1.691998
104.5071, 1.295061
104.9892, 0.8043360
105.4713, 0.2093190
105.9534, 1.001179
106.4355, 1.130267
106.9177, 0.7962500
107.3998, 3.845934
107.8819, 5.093970
108.3640, 2.189211
108.8461, 0.6647760
109.3282, 1.487033
109.8104, 1.782582
110.2925, 4.694240
110.7746, 7.367697
111.2567, 9.683059
111.7388, 10.81738
112.2209, 9.532177
112.7031, 7.636114
113.1852, 6.368611
113.6673, 6.399054
114.1494, 6.664820
114.6315, 7.076058
115.1136, 7.637687
115.5958, 7.809143
116.0779, 6.622030
116.5600, 5.197759
117.0421, 4.774804
117.5242, 7.012915
118.0063, 9.467910
118.4885, 10.77539
118.9706, 10.64488
119.4527, 10.29752
119.9348, 9.499608
120.4169, 8.957434
120.8990, 10.00571
121.3812, 15.14610
121.8633, 21.33176
122.3454, 25.50651
122.8275, 26.82630
123.3096, 27.14472
123.7917, 27.95737
124.2739, 29.10719
124.7560, 30.01754
125.2381, 29.99779
125.7202, 29.54288
126.2023, 29.46003
126.6844, 29.88010
127.1665, 30.80290
127.6487, 32.79625
128.1308, 35.74869
128.6129, 38.00326
129.0950, 37.45660
129.5771, 34.87006
130.0592, 33.08406
130.5414, 33.52290
131.0235, 35.07056
131.5056, 34.36642
131.9877, 30.98618
132.4698, 27.48909
132.9520, 27.24310
133.4341, 30.03892
133.9162, 32.25804
134.3983, 32.38360
134.8804, 30.74450
135.3625, 30.06252
135.8447, 30.59580
136.3268, 31.40431
136.8089, 30.79638
137.2910, 28.41926
137.7731, 26.80404
138.2552, 27.53450
138.7374, 31.09163
139.2195, 32.58388
139.7016, 31.35228
140.1837, 28.70424
140.6658, 27.28009
141.1479, 27.25002
141.6301, 27.94752
142.1122, 29.18654
142.5943, 31.34039
143.0764, 33.05722
143.5585, 34.34182
144.0406, 35.18749
144.5228, 35.40396
145.0049, 33.76069
145.4870, 32.99747
145.9691, 34.93711
146.4512, 43.37612
146.9333, 48.30403
147.4155, 47.91721
147.8976, 42.85462
148.3797, 39.11281
148.8618, 37.58522
149.3439, 36.69089
149.8260, 35.39439
150.3082, 32.88111
150.7903, 30.87454
151.2724, 29.83451
151.7545, 29.77397
152.2366, 29.12186
152.7187, 27.07441
153.2009, 24.82803
153.6830, 23.34425
154.1651, 22.79963
154.6472, 22.90853
155.1293, 23.93123
155.6114, 26.04673
156.0935, 27.53520
156.5757, 27.34966
157.0578, 26.66327
157.5399, 26.78860
158.0220, 30.36387
158.5041, 32.79218
158.9862, 31.56306
159.4684, 25.39175
159.9505, 20.78493
160.4326, 20.79861
160.9147, 23.42117
161.3968, 25.67401
161.8789, 27.31726
162.3611, 27.76175
162.8432, 25.97834
163.3253, 20.58439
163.8074, 16.82966
164.2895, 18.51603
164.7716, 23.71240
165.2538, 28.30456
165.7359, 30.89091
166.2180, 31.95936
166.7001, 31.59899
167.1822, 29.26033
167.6643, 26.89116
168.1465, 25.47167
168.6286, 24.84224
169.1107, 24.55826
169.5928, 24.82579
170.0749, 25.13140
170.5570, 24.91075
171.0392, 23.89028
171.5213, 22.55718
172.0034, 20.83168
172.4855, 18.94484
172.9676, 17.89621
173.4497, 19.11776
173.9319, 21.40330
174.4140, 22.99753
174.8961, 23.13157
175.3782, 22.75020
175.8603, 23.37442
176.3424, 24.78208
