##NAMES=Dmisteinbergite
##RRUFFID=R130087
##IDEAL CHEMISTRY=CaAl_2_Si_2_O_8_
##LOCALITY=Katashina Village, Gunma Prefecture, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless platelets with pearly luster. Associated with prehnite and wairakite, R061075
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R130087
122.1115, 0.0000000E+00
122.5936, 33.09766
123.0757, 9.452637
123.5578, 345.3359
124.0400, 888.2871
124.5221, 1601.673
125.0042, 2455.047
125.4863, 3421.030
125.9684, 4452.971
126.4505, 5584.653
126.9327, 6718.834
127.4148, 7749.487
127.8969, 8800.604
128.3790, 10033.19
128.8611, 11522.18
129.3432, 13225.28
129.8254, 14978.97
130.3075, 17557.91
130.7896, 19327.03
131.2717, 19820.75
131.7538, 19269.74
132.2359, 18016.68
132.7181, 16152.02
133.2002, 13804.96
133.6823, 11605.63
134.1644, 9501.191
134.6465, 7559.598
135.1286, 5709.988
135.6108, 4028.315
136.0929, 2714.869
136.5750, 1923.938
137.0571, 1618.312
137.5392, 1472.744
138.0213, 1518.825
138.5035, 1678.719
138.9856, 1918.606
139.4677, 2239.022
139.9498, 2634.615
140.4319, 3102.231
140.9140, 3651.696
141.3961, 4266.754
141.8783, 4961.359
142.3604, 5711.652
142.8425, 6478.211
143.3246, 7261.256
143.8067, 8146.938
144.2888, 9240.919
144.7710, 10481.72
145.2531, 11719.43
145.7352, 12977.24
146.2173, 13802.55
146.6994, 13880.16
147.1815, 13386.50
147.6637, 12643.89
148.1458, 11726.47
148.6279, 10702.27
149.1100, 9656.217
149.5921, 8544.702
150.0742, 7445.207
150.5564, 6465.474
151.0385, 5586.033
151.5206, 4841.165
152.0027, 4276.703
152.4848, 3840.268
152.9669, 3480.228
153.4491, 3156.288
153.9312, 2838.696
154.4133, 2858.036
154.8954, 2835.398
155.3775, 2774.617
155.8596, 2581.632
156.3418, 2570.600
156.8239, 2511.047
157.3060, 2445.772
157.7881, 2460.584
158.2702, 2287.594
158.7523, 2280.882
159.2345, 2205.242
159.7166, 2167.398
160.1987, 2063.220
160.6808, 1976.950
161.1629, 1956.072
161.6451, 1896.152
162.1272, 1778.671
162.6093, 1743.462
163.0914, 1570.187
163.5735, 1526.291
164.0556, 1537.659
164.5378, 1426.747
165.0199, 1395.305
165.5020, 1341.310
165.9841, 1153.757
166.4662, 1211.495
166.9483, 1209.588
167.4305, 1152.735
167.9126, 1063.188
168.3947, 981.4463
168.8768, 929.5293
169.3589, 901.9209
169.8410, 858.8633
170.3232, 779.9297
170.8053, 715.6904
171.2874, 687.9453
171.7695, 677.6064
172.2516, 653.2422
172.7337, 592.7168
173.2159, 501.3008
173.6980, 431.1865
174.1801, 397.9043
174.6622, 365.2666
175.1443, 323.7256
175.6264, 281.5205
176.1085, 249.8027
176.5907, 169.4385
177.0728, 230.3096
177.5549, 255.7959
178.0370, 248.1426
178.5191, 106.2158
179.0012, 135.2695
179.4834, 95.95410
179.9655, 35.69336
180.4476, 72.66309
180.9297, 62.44580
181.4118, 20.18848
181.8939, 45.40869
182.3761, 36.34619
182.8582, 94.90381
183.3403, 131.5283
183.8224, 98.39258
184.3045, 102.8877
184.7866, 166.9258
185.2688, 151.0796
185.7509, 227.8301
186.2330, 226.5439
186.7151, 208.4497
187.1972, 180.8228
187.6793, 154.0396
188.1615, 133.7676
188.6436, 120.6187
189.1257, 120.3584
189.6078, 135.1909
190.0899, 162.1680
190.5720, 222.6016
191.0542, 291.7549
191.5363, 331.9736
192.0184, 318.8721
192.5005, 260.9697
192.9826, 209.4282
193.4647, 166.9590
193.9469, 128.2520
194.4290, 86.86279
194.9111, 49.61035
195.3932, 27.80908
195.8753, 28.28711
196.3574, 46.72656
196.8396, 61.77246
197.3217, 77.91650
197.8038, 84.87402
198.2859, 76.45020
198.7680, 59.05811
199.2501, 39.81738
199.7323, 22.23242
200.2144, 7.445801
200.6965, 0.6401370
201.1786, 3.639160
201.6607, 8.603027
202.1428, 13.44629
202.6250, 18.56445
203.1071, 24.62256
203.5892, 31.77539
204.0713, 39.89062
204.5534, 48.63916
205.0355, 73.04150
205.5177, 79.13770
205.9998, 46.50781
206.4819, 2.112305
206.9640, 23.22705
207.4461, 16.97217
207.9282, 8.853027
208.4104, 26.17725
208.8925, 36.67822
209.3746, 34.67529
209.8567, 10.20068
210.3388, 21.77051
210.8209, 46.47656
211.3030, 58.95850
211.7852, 65.04492
212.2673, 75.93750
212.7494, 99.58350
213.2315, 116.7012
213.7136, 118.4707
214.1957, 119.5527
214.6779, 134.4614
215.1600, 166.4863
215.6421, 205.3613
216.1242, 235.9326
216.6063, 263.6323
217.0884, 270.6460
217.5706, 239.2534
218.0527, 202.3003
218.5348, 180.7305
219.0169, 179.6411
219.4990, 194.9448
219.9811, 223.0869
