##NAMES=Gadolinium gallium garnet
##RRUFFID=X090007
##IDEAL CHEMISTRY=Gd_3_Ga_2_(GaO_4_)_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted colorless gemstone, 1.70 ct
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/X090007
122.7503, 0.0000000E+00
123.2324, 0.1063230
123.7145, 0.8486940
124.1966, 4.087708
124.6788, 6.213806
125.1609, 4.602783
125.6430, 0.1110230
126.1251, 0.6611940
126.6072, 5.615112
127.0893, 11.30243
127.5715, 12.62720
128.0536, 10.18964
128.5357, 7.438049
129.0178, 6.544556
129.4999, 7.534607
129.9821, 9.316833
130.4642, 12.63654
130.9463, 16.30579
131.4284, 19.00409
131.9105, 20.51959
132.3926, 21.93793
132.8748, 23.80933
133.3569, 26.14099
133.8390, 29.10919
134.3211, 33.07458
134.8032, 37.76013
135.2853, 42.31006
135.7674, 46.79730
136.2496, 50.98376
136.7317, 54.78656
137.2138, 58.23767
137.6959, 61.40460
138.1780, 64.39862
138.6601, 67.27179
139.1423, 69.73816
139.6244, 71.57294
140.1065, 73.25842
140.5886, 74.91199
141.0707, 76.53735
141.5528, 78.13660
142.0350, 79.69507
142.5171, 81.13690
142.9992, 82.58215
143.4813, 84.46027
143.9634, 86.04083
144.4455, 86.76447
144.9277, 86.51544
145.4098, 85.66351
145.8919, 84.81909
146.3740, 84.30579
146.8561, 83.12970
147.3382, 80.58160
147.8204, 77.55237
148.3025, 75.20172
148.7846, 73.99585
149.2667, 73.39539
149.7488, 72.35760
150.2309, 70.98926
150.7131, 69.12695
151.1952, 66.11969
151.6773, 62.44659
152.1594, 59.59222
152.6415, 57.83533
153.1236, 57.63562
153.6058, 59.39337
154.0879, 63.78833
154.5700, 69.03571
155.0521, 74.65546
155.5342, 81.13873
156.0163, 85.21222
156.4985, 83.17963
156.9806, 78.48395
157.4627, 74.15387
157.9448, 69.87476
158.4269, 66.13330
158.9090, 65.24408
159.3912, 68.61023
159.8733, 71.67902
160.3554, 72.80054
160.8375, 73.20331
161.3196, 74.05518
161.8017, 75.36749
162.2839, 77.00482
162.7660, 79.16705
163.2481, 81.48547
163.7302, 85.74701
164.2123, 91.71069
164.6944, 99.65363
165.1766, 109.6928
165.6587, 121.9023
166.1408, 138.3905
166.6229, 154.3611
167.1050, 179.3072
167.5871, 203.9657
168.0693, 231.9558
168.5514, 258.7094
169.0335, 276.0462
169.5156, 278.3881
169.9977, 266.0334
170.4798, 247.4280
170.9620, 216.8572
171.4441, 186.8665
171.9262, 161.3622
172.4083, 140.8820
172.8904, 126.1038
173.3725, 117.9872
173.8547, 117.1302
174.3368, 119.8896
174.8189, 125.2177
175.3010, 134.8130
175.7831, 150.3120
176.2652, 171.8406
176.7474, 197.8116
177.2295, 230.7635
177.7116, 267.4338
178.1937, 298.7357
178.6758, 329.0653
179.1579, 350.8098
179.6401, 351.2681
180.1222, 326.8004
180.6043, 291.2958
181.0864, 246.2934
181.5685, 196.8749
182.0506, 151.5557
182.5328, 113.3969
183.0149, 82.25024
183.4970, 57.79755
183.9791, 42.16925
184.4612, 30.96216
184.9433, 22.58710
185.4255, 16.43787
185.9076, 11.50647
186.3897, 7.309387
186.8718, 3.820984
187.3539, 0.8505250
