##NAMES=Hydrotungstite
##RRUFFID=R120058
##IDEAL CHEMISTRY=WO_2_(OH)_2_&#183;H_2_O
##LOCALITY=Mundo Nuevo, La Libertad, Peru
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Greenish yellow cubes, associated with ferberite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120058
98.83527, 0.0000000E+00
99.31738, 0.5281980
99.79950, 2.502930
100.2816, 9.146851
100.7637, 17.78638
101.2458, 28.48755
101.7280, 41.39545
102.2101, 56.53131
102.6922, 73.51959
103.1743, 92.95898
103.6564, 115.0286
104.1385, 135.6284
104.6207, 153.2211
105.1028, 168.1440
105.5849, 181.7908
106.0670, 194.9794
106.5491, 205.4611
107.0313, 211.2328
107.5134, 211.7258
107.9955, 209.7980
108.4776, 208.7902
108.9597, 209.7268
109.4418, 208.9594
109.9240, 204.7448
110.4061, 198.3669
110.8882, 190.7292
111.3703, 181.6691
111.8524, 171.2581
112.3345, 160.4146
112.8167, 149.7151
113.2988, 137.5532
113.7809, 122.7911
114.2630, 107.1859
114.7451, 92.00610
115.2272, 78.17560
115.7094, 65.50250
116.1915, 54.22852
116.6736, 44.38812
117.1557, 36.46387
117.6378, 30.84424
118.1199, 27.14203
118.6021, 24.36646
119.0842, 21.35687
119.5663, 17.99249
120.0484, 15.59833
120.5305, 15.88062
121.0126, 16.37225
121.4948, 14.51654
121.9769, 9.815796
122.4590, 4.545227
122.9411, 1.397034
123.4232, 6.9274999E-02
123.9053, 0.1793210
124.3875, 0.4042970
124.8696, 2.296631
125.3517, 6.797241
125.8338, 14.20850
126.3159, 24.85303
126.7980, 38.72852
127.2802, 55.67780
127.7623, 74.81891
128.2444, 93.85742
128.7265, 113.4406
129.2086, 130.2988
129.6907, 143.6309
130.1729, 153.5071
130.6550, 159.1068
131.1371, 160.7289
131.6192, 159.3563
132.1013, 156.2491
132.5834, 152.8926
133.0656, 144.3220
133.5477, 128.4800
134.0298, 109.6537
134.5119, 89.96716
134.9940, 70.44287
135.4761, 52.10278
135.9583, 37.68365
136.4404, 29.07910
136.9225, 22.56238
137.4046, 18.32355
137.8867, 15.92401
138.3688, 14.98199
138.8510, 15.35858
139.3331, 16.74420
139.8152, 18.34845
140.2973, 20.24127
140.7794, 22.20807
141.2615, 24.34882
141.7437, 26.56165
142.2258, 28.40906
142.7079, 29.62152
143.1900, 30.27301
143.6721, 30.63556
144.1542, 30.49493
144.6364, 30.34015
145.1185, 31.06714
145.6006, 32.99548
146.0827, 33.84735
146.5648, 31.59418
147.0469, 27.87274
147.5291, 24.19318
148.0112, 21.11353
148.4933, 18.35760
148.9754, 15.26971
149.4575, 11.54260
149.9396, 7.987976
150.4218, 5.049866
150.9039, 2.351685
151.3860, 0.6353760
151.8681, 4.320862
152.3502, 8.591492
152.8323, 12.19354
153.3145, 14.64838
153.7966, 16.82703
154.2787, 18.75580
154.7608, 20.56030
155.2429, 22.55054
155.7250, 25.11932
156.2072, 28.41809
156.6893, 28.14685
157.1714, 24.41199
157.6535, 20.54260
158.1356, 18.22321
158.6177, 17.27368
159.0999, 16.26666
159.5820, 13.78430
160.0641, 9.489929
160.5462, 6.090454
161.0283, 4.600586
161.5104, 3.281494
161.9926, 0.8444820
162.4747, 2.880554
162.9568, 7.352234
163.4389, 12.42456
163.9210, 18.04041
164.4031, 22.63031
164.8853, 25.37939
165.3674, 27.10486
165.8495, 28.97162
166.3316, 31.19965
166.8137, 33.41412
167.2958, 35.23859
167.7780, 36.74896
168.2601, 38.17490
168.7422, 39.75372
169.2243, 41.36893
169.7064, 42.45312
170.1885, 42.37375
170.6707, 42.51907
171.1528, 43.90118
171.6349, 46.31418
172.1170, 48.84183
172.5991, 50.79660
173.0812, 52.15836
173.5634, 53.38599
174.0455, 53.05746
174.5276, 53.84189
175.0097, 57.92346
175.4918, 64.72296
175.9739, 71.43341
176.4561, 74.79520
176.9382, 73.73364
177.4203, 72.92322
177.9024, 71.78146
178.3845, 71.31128
178.8666, 71.99655
179.3488, 73.91992
179.8309, 76.97372
180.3130, 81.12732
180.7951, 87.20688
181.2772, 92.58133
181.7593, 96.77756
182.2415, 100.6805
182.7236, 105.2337
183.2057, 110.5656
183.6878, 115.6255
184.1699, 118.6732
184.6520, 117.8006
185.1342, 118.7310
185.6163, 122.8069
186.0984, 128.2159
186.5805, 133.0425
187.0626, 136.7316
187.5447, 139.8427
188.0269, 143.1576
188.5090, 146.5366
188.9911, 150.5683
189.4732, 155.6854
189.9553, 161.4995
190.4374, 167.2278
190.9196, 172.6003
191.4017, 178.0469
191.8838, 184.3373
192.3659, 191.4150
192.8480, 198.4969
193.3301, 205.2573
193.8123, 211.7115
194.2944, 218.0359
194.7765, 223.9938
195.2586, 230.1997
195.7407, 237.3925
196.2228, 245.6024
196.7050, 253.8127
197.1871, 261.1287
197.6692, 267.6049
198.1513, 274.3932
198.6334, 281.1221
199.1155, 288.8571
199.5977, 298.8568
200.0798, 311.0500
200.5619, 323.2886
201.0440, 333.0492
201.5261, 339.7989
202.0082, 348.0131
202.4904, 360.1268
202.9725, 372.5964
203.4546, 383.9782
203.9367, 393.9823
204.4188, 402.9062
204.9009, 411.0136
205.3831, 418.1786
205.8652, 424.8222
206.3473, 431.7159
206.8294, 437.5995
207.3115, 441.4765
207.7936, 443.2708
208.2758, 443.7639
208.7579, 444.0305
209.2400, 444.3746
209.7221, 443.4362
210.2042, 440.7708
210.6863, 437.3234
211.1685, 433.3805
211.6506, 429.1721
212.1327, 425.3066
212.6148, 422.7142
213.0969, 422.3673
213.5790, 421.2888
214.0612, 418.7046
214.5433, 416.0376
215.0254, 414.4826
215.5075, 414.2684
215.9896, 414.8391
216.4718, 415.4759
216.9539, 416.1551
217.4360, 417.1074
217.9181, 418.5922
218.4002, 420.3406
218.8823, 422.3139
219.3645, 424.5211
219.8466, 426.2692
220.3287, 426.0630
220.8108, 423.1650
221.2929, 421.9382
221.7750, 424.2641
222.2572, 428.0496
222.7393, 430.6078
223.2214, 431.2685
223.7035, 431.3235
224.1856, 432.3513
224.6677, 434.2612
225.1499, 436.2711
225.6320, 437.7323
226.1141, 439.2806
226.5962, 442.0823
227.0783, 446.5372
227.5604, 451.6611
228.0426, 456.8173
228.5247, 461.9226
229.0068, 466.6117
229.4889, 470.6831
229.9710, 474.2100
230.4531, 477.3381
230.9353, 479.9896
231.4174, 482.3708
231.8995, 484.9537
232.3816, 487.4870
232.8637, 489.1525
233.3458, 489.7946
233.8280, 489.2978
234.3101, 487.1169
234.7922, 482.6663
235.2743, 477.3552
235.7564, 472.7962
236.2385, 468.1537
236.7207, 461.5266
237.2028, 450.9977
237.6849, 437.6087
238.1670, 425.8313
238.6491, 417.3271
239.1312, 407.9399
239.6134, 395.0950
240.0955, 380.4066
240.5776, 366.3712
241.0597, 354.4863
241.5418, 344.4640
242.0239, 335.2621
242.5061, 327.3789
242.9882, 319.6674
243.4703, 311.4574
243.9524, 303.3076
244.4345, 295.9590
244.9166, 289.8284
245.3988, 284.8643
245.8809, 281.0216
246.3630, 279.2726
246.8451, 277.4889
247.3272, 274.4453
247.8093, 271.2072
248.2915, 269.3197
248.7736, 269.6461
249.2557, 271.6235
249.7378, 273.0239
250.2199, 273.1730
250.7020, 273.6591
251.1842, 273.8617
251.6663, 274.6119
252.1484, 277.1888
252.6305, 282.2446
253.1126, 288.9265
253.5947, 294.6198
254.0769, 297.5404
254.5590, 301.6198
255.0411, 307.3894
255.5232, 314.2788
256.0053, 321.8651
256.4874, 329.9353
256.9695, 338.2361
257.4517, 346.1623
257.9338, 352.4956
258.4159, 360.1804
258.8980, 370.0206
259.3801, 380.9087
259.8622, 391.6223
260.3444, 401.7471
260.8265, 412.0124
261.3086, 423.8448
261.7907, 439.5163
262.2728, 453.2389
262.7549, 464.7101
263.2371, 474.3676
263.7192, 482.4851
264.2013, 489.1812
264.6834, 494.5779
265.1655, 498.8941
265.6476, 502.2596
266.1298, 503.6992
266.6119, 502.4964
267.0940, 499.7536
267.5761, 496.5717
268.0582, 493.1413
268.5403, 488.8388
269.0225, 482.9204
269.5046, 475.1075
269.9867, 466.2302
270.4688, 455.0126
270.9509, 443.5690
271.4330, 433.9550
271.9152, 426.3689
272.3973, 419.1222
272.8794, 410.4799
273.3615, 400.3068
273.8436, 391.5407
274.3257, 384.6697
274.8079, 378.8500
275.2900, 373.8940
275.7721, 369.6606
276.2542, 365.2356
276.7363, 359.6127
277.2184, 353.1020
277.7006, 347.8521
278.1827, 344.7841
278.6648, 342.2925
279.1469, 339.7802
279.6290, 337.1147
280.1111, 333.3462
280.5933, 327.5196
281.0754, 320.2046
281.5575, 313.6476
282.0396, 308.6558
282.5217, 303.4648
283.0038, 297.2580
283.4860, 290.0115
283.9681, 281.4416
284.4502, 271.0913
284.9323, 259.5270
285.4144, 248.0306
285.8965, 236.5363
286.3787, 225.2653
286.8608, 214.3702
287.3429, 203.8340
287.8250, 193.4104
288.3071, 183.0277
288.7892, 172.7394
289.2714, 162.4624
289.7535, 152.1426
290.2356, 142.3407
290.7177, 133.6807
291.1998, 125.7437
291.6819, 117.1623
292.1641, 107.3039
292.6462, 97.37524
293.1283, 88.66232
