##NAMES=Jahnsite-(CaMnMg)
##RRUFFID=R060213
##IDEAL CHEMISTRY=CaMn^2+^Mg_2_Fe^3+^_2_(PO_4_)_4_(OH)_2_&#183;8H_2_O
##LOCALITY=Tip Top mine, Custer County, South Dakota, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Brown tabular crystals associated with black prismatic rockbridgeite, R060858
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R060213
91.82715, 0.0000000E+00
92.30927, 5.6244001E-02
92.79138, 4.599945
93.27350, 10.24835
93.75562, 13.53571
94.23773, 13.46368
94.71985, 11.38116
95.20197, 9.388275
95.68408, 8.598755
96.16620, 7.798370
96.64832, 8.500671
97.13043, 10.94815
97.61255, 12.63885
98.09467, 12.22870
98.57678, 8.916046
99.05890, 6.695526
99.54102, 9.348175
100.0231, 13.57095
100.5052, 16.20804
100.9874, 14.46567
101.4695, 7.986237
101.9516, 5.074463
102.4337, 8.200317
102.9158, 11.23227
103.3979, 16.59201
103.8801, 20.47812
104.3622, 22.46683
104.8443, 22.84811
105.3264, 20.53915
105.8085, 20.74112
106.2906, 24.73898
106.7728, 27.67307
107.2549, 25.92111
107.7370, 21.78729
108.2191, 17.53842
108.7012, 13.19843
109.1833, 9.963928
109.6655, 7.869934
110.1476, 10.39230
110.6297, 14.84607
111.1118, 16.05408
111.5939, 11.93964
112.0760, 6.582214
112.5582, 4.693878
113.0403, 5.952087
113.5224, 7.163116
114.0045, 5.690063
114.4866, 1.723389
114.9688, 0.5611570
115.4509, 1.553253
115.9330, 4.285889
116.4151, 5.301422
116.8972, 4.272125
117.3793, 2.431763
117.8615, 1.540100
118.3436, 2.393311
118.8257, 2.197418
119.3078, 0.3461910
119.7899, 3.352020
120.2720, 5.498260
120.7542, 6.240936
121.2363, 5.759094
121.7184, 4.572479
122.2005, 0.8560180
122.6826, 1.534180
123.1647, 1.538055
123.6468, 0.1817020
124.1290, 1.059692
124.6111, 1.322357
125.0932, 0.7680970
125.5753, 0.7670900
126.0574, 2.885406
126.5395, 3.934357
127.0217, 1.594299
127.5038, 3.482056
127.9859, 7.906006
128.4680, 8.990936
128.9501, 7.169647
129.4323, 6.097748
129.9144, 6.331604
130.3965, 7.146301
130.8786, 8.048065
131.3607, 9.169342
131.8428, 9.670471
132.3250, 7.890778
132.8071, 5.013000
133.2892, 3.277832
133.7713, 4.399261
134.2534, 7.514343
134.7355, 9.565674
135.2177, 9.681274
135.6998, 9.854004
136.1819, 10.94815
136.6640, 12.86591
137.1461, 15.31168
137.6282, 18.47699
138.1104, 22.56311
138.5925, 25.08072
139.0746, 25.24515
139.5567, 24.42218
140.0388, 22.50497
140.5209, 19.83847
141.0031, 17.24066
141.4852, 15.63409
141.9673, 15.09912
142.4494, 15.58551
142.9315, 18.06973
143.4136, 20.70816
143.8958, 22.16449
144.3779, 22.15329
144.8600, 21.54004
145.3421, 21.75891
145.8242, 23.75394
146.3063, 24.78424
146.7885, 23.75562
147.2706, 22.02505
147.7527, 21.49463
148.2348, 23.00278
148.7169, 25.28671
149.1990, 25.52164
149.6812, 23.65662
150.1633, 22.06042
150.6454, 22.08670
