##NAMES=Joesmithite
##RRUFFID=R120157
##IDEAL CHEMISTRY=PbCa_2_Mg_3_Fe^3+^_2_(Si_6_Be_2_)O_22_(OH)_2_
##LOCALITY=Ramsorten drift, Langban, Sweden
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Reddish brown to black short prismatic crystals and fragments associated with hematite, from type sample
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120157
99.90765, 0.0000000E+00
100.3898, 0.8194430
100.8719, 0.6208800
101.3540, 0.1427610
101.8361, 0.3905940
102.3182, 0.1833800
102.8004, 0.4209140
103.2825, 1.308014
103.7646, 2.586960
104.2467, 4.327698
104.7288, 6.334961
105.2109, 8.116623
105.6931, 9.381027
106.1752, 10.87311
106.6573, 13.00208
107.1394, 16.29480
107.6215, 19.26663
108.1036, 21.71675
108.5858, 23.76715
109.0679, 26.02611
109.5500, 28.29031
110.0321, 30.90613
110.5142, 34.02582
110.9963, 37.92621
111.4785, 42.00702
111.9606, 46.24828
112.4427, 50.64600
112.9248, 55.00319
113.4069, 59.53040
113.8890, 63.88959
114.3712, 67.87274
114.8533, 71.80156
115.3354, 74.99249
115.8175, 77.18698
116.2996, 78.40012
116.7817, 78.94670
117.2639, 78.89804
117.7460, 78.29552
118.2281, 77.18806
118.7102, 75.37140
119.1923, 73.21129
119.6744, 70.84200
120.1566, 68.20630
120.6387, 65.65321
121.1208, 63.11685
121.6029, 60.80510
122.0850, 59.17285
122.5671, 58.80469
123.0493, 59.05841
123.5314, 59.27557
124.0135, 59.29480
124.4956, 59.37396
124.9777, 59.66891
125.4598, 60.19095
125.9420, 60.99774
126.4241, 61.92236
126.9062, 63.18164
127.3883, 65.18979
127.8704, 68.11865
128.3525, 71.71005
128.8347, 75.71588
129.3168, 80.12997
129.7989, 84.63718
130.2810, 89.03830
130.7631, 93.34033
131.2452, 97.78748
131.7274, 102.5544
132.2095, 107.4517
132.6916, 112.0930
133.1737, 116.5593
133.6558, 120.4489
134.1379, 123.5619
134.6201, 125.9010
135.1022, 127.4138
135.5843, 128.2579
136.0664, 128.3286
136.5485, 126.4651
137.0306, 122.2453
137.5128, 117.0512
137.9949, 112.6107
138.4770, 109.1949
138.9591, 105.0655
139.4412, 99.19492
139.9233, 91.40366
140.4055, 85.03799
140.8876, 80.47687
141.3697, 76.92792
141.8518, 72.98917
142.3339, 68.30084
142.8160, 64.05185
143.2982, 60.68256
143.7803, 58.36877
144.2624, 56.50583
144.7445, 55.37616
145.2266, 54.60870
145.7087, 53.36237
146.1909, 51.22620
146.6730, 49.12186
147.1551, 47.37579
147.6372, 45.97305
148.1193, 44.99478
148.6014, 44.61215
149.0836, 44.68085
149.5657, 44.69391
150.0478, 44.38931
150.5299, 44.23395
151.0120, 44.43521
151.4941, 45.03979
151.9763, 45.92795
152.4584, 47.10623
152.9405, 48.68475
153.4226, 50.72195
153.9047, 52.83398
154.3868, 55.44089
154.8690, 58.76025
155.3511, 63.82761
155.8332, 68.56741
156.3153, 72.27652
156.7974, 74.99878
157.2795, 77.75809
157.7617, 81.43832
158.2438, 84.94519
158.7259, 87.27228
159.2080, 88.18762
159.6901, 87.91852
160.1722, 86.27853
160.6544, 83.31213
161.1365, 79.88016
161.6186, 76.02203
162.1007, 71.96628
162.5828, 67.83679
163.0649, 63.47577
163.5471, 59.24783
164.0292, 55.37173
164.5113, 51.85187
164.9934, 48.37695
165.4755, 44.34152
165.9576, 40.35895
166.4398, 37.23279
166.9219, 36.04333
167.4040, 35.22168
167.8861, 33.57486
168.3682, 30.98087
168.8503, 28.66400
169.3325, 27.38309
169.8146, 26.90247
170.2967, 26.84756
170.7788, 27.58093
171.2609, 28.37555
171.7430, 28.42581
172.2252, 27.60660
172.7073, 26.77347
173.1894, 26.50262
173.6715, 26.72952
174.1536, 27.29395
174.6357, 28.44025
175.1179, 29.75623
175.6000, 30.65854
176.0821, 31.01431
176.5642, 31.37570
177.0463, 32.27426
177.5284, 33.62378
178.0106, 35.13782
178.4927, 36.87088
178.9748, 38.63223
179.4569, 40.03690
179.9390, 41.03403
180.4211, 41.79947
180.9033, 42.55435
181.3854, 43.28210
181.8675, 43.87527
182.3496, 44.29752
182.8317, 44.54239
183.3138, 44.64368
183.7960, 44.62497
184.2781, 44.39310
184.7602, 43.86084
185.2423, 43.01474
185.7244, 41.79065
186.2065, 39.92075
186.6887, 37.58313
187.1708, 35.48175
187.6529, 33.78683
188.1350, 32.15466
188.6171, 29.94376
189.0992, 27.15063
189.5814, 24.36255
190.0635, 21.92972
190.5456, 19.80142
191.0277, 17.82648
191.5098, 15.94662
191.9919, 14.25348
192.4741, 13.04071
192.9562, 12.32748
193.4383, 11.75735
193.9204, 11.08603
194.4025, 10.32553
194.8846, 9.703918
195.3668, 9.276459
195.8489, 8.968079
196.3310, 8.556152
196.8131, 8.010193
197.2952, 7.583862
197.7773, 7.595490
198.2595, 8.066193
198.7416, 8.107452
199.2237, 7.485504
199.7058, 6.477142
200.1879, 5.904907
200.6700, 5.860077
201.1522, 5.831696
201.6343, 5.483734
202.1164, 4.800476
202.5985, 3.944244
203.0806, 2.871033
203.5627, 1.678284
204.0449, 0.7237550
204.5270, 7.0129000E-02
205.0091, 0.5580140
205.4912, 1.443604
205.9733, 2.693054
206.4554, 3.543182
206.9376, 3.810944
207.4197, 3.643860
207.9018, 3.602966
208.3839, 3.720612
208.8660, 3.877594
209.3481, 3.977966
209.8303, 3.991211
210.3124, 4.093811
210.7945, 4.398071
211.2766, 4.786621
211.7587, 4.774780
212.2408, 4.285858
212.7230, 3.549683
213.2051, 2.647034
213.6872, 1.477722
214.1693, 0.5159610
214.6514, 8.4197998E-02
215.1335, 0.4314270
215.6157, 1.027374
216.0978, 1.962463
216.5799, 2.972534
217.0620, 3.877533
217.5441, 4.605347
218.0262, 5.450165
218.5084, 6.526855
218.9905, 7.758820
219.4726, 8.648804
219.9547, 8.968536
220.4368, 9.366150
220.9189, 10.34683
221.4011, 12.31876
221.8832, 13.79971
222.3653, 14.44312
222.8474, 14.49734
223.3295, 15.23874
223.8116, 16.91788
224.2938, 18.90753
224.7759, 20.87131
225.2580, 22.85703
225.7401, 24.60327
226.2222, 25.92026
226.7043, 26.99445
227.1865, 28.68976
227.6686, 31.23627
228.1507, 34.00616
228.6328, 36.64810
229.1149, 39.24527
229.5970, 41.36795
230.0792, 42.79767
230.5613, 43.75150
231.0434, 45.04138
231.5255, 46.93179
232.0076, 48.74579
232.4897, 50.11758
232.9719, 50.96637
233.4540, 51.53845
233.9361, 51.53479
234.4182, 51.29916
234.9003, 52.10941
235.3824, 54.64584
235.8646, 57.23416
236.3467, 59.00864
236.8288, 59.49237
237.3109, 60.22726
237.7930, 61.29630
238.2751, 62.63486
238.7573, 63.94485
239.2394, 64.85504
239.7215, 66.26227
240.2036, 68.69089
240.6857, 72.80310
241.1678, 76.40485
241.6500, 79.29166
242.1321, 81.70422
242.6142, 84.30701
243.0963, 87.15680
243.5784, 90.09686
244.0605, 93.08127
244.5427, 96.29404
245.0248, 99.14169
245.5069, 101.6600
245.9890, 103.8127
246.4711, 105.5096
246.9532, 106.8691
247.4354, 107.6181
247.9175, 107.6122
248.3996, 106.7255
248.8817, 105.5469
249.3638, 104.2092
249.8459, 102.5167
250.3281, 100.0795
250.8102, 96.71335
251.2923, 92.91437
251.7744, 88.69034
252.2565, 83.88956
252.7386, 79.47702
253.2208, 75.47452
253.7029, 71.84769
254.1850, 68.50803
254.6671, 65.56915
255.1492, 62.66409
255.6313, 59.62231
256.1135, 56.36069
256.5956, 53.54849
257.0777, 51.25833
257.5598, 49.36667
258.0419, 47.76117
258.5240, 46.56091
259.0062, 45.39279
259.4883, 44.07883
259.9704, 42.60492
260.4525, 41.55655
260.9346, 41.10425
261.4167, 40.88220
261.8989, 40.38000
262.3810, 39.30283
262.8631, 38.77872
263.3452, 39.31091
263.8273, 40.88306
264.3094, 41.55978
264.7916, 41.07245
265.2737, 40.23917
