##NAMES=Kleinite
##RRUFFID=R060329
##IDEAL CHEMISTRY=Hg_2_N(Cl,SO_4_)&#183;nH_2_O
##LOCALITY=McDermott mine, Humboldt County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light yellow hexagonal prismatic or tabular crystals, associated with orange or dark yellow platy terlinguacreekite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060329
114.1927, 0.0000000E+00
114.6748, 25.36719
115.1569, 7.542969
115.6390, 138.2344
116.1212, 424.7305
116.6033, 926.9609
117.0854, 1502.246
117.5675, 2031.918
118.0496, 2461.383
118.5317, 2779.281
119.0139, 2954.348
119.4960, 2890.982
119.9781, 2777.512
120.4602, 2601.869
120.9423, 2384.906
121.4244, 2165.316
121.9066, 1971.152
122.3887, 1799.211
122.8708, 1671.500
123.3529, 1602.121
123.8350, 1551.336
124.3171, 1496.934
124.7993, 1437.115
125.2814, 1381.508
125.7635, 1328.197
126.2456, 1268.918
126.7277, 1211.955
127.2098, 1168.340
127.6920, 1124.703
128.1741, 1059.787
128.6562, 973.2852
129.1383, 878.1387
129.6204, 792.1680
130.1025, 715.9082
130.5847, 636.1133
131.0668, 542.1973
131.5489, 442.8027
132.0310, 358.2988
132.5131, 285.2031
132.9952, 229.3789
133.4774, 190.1270
133.9595, 166.4453
134.4416, 146.9062
134.9237, 120.9922
135.4058, 89.82227
135.8879, 63.74219
136.3701, 46.22070
136.8522, 35.11523
137.3343, 33.12305
137.8164, 39.45898
138.2985, 48.76172
138.7806, 49.79492
139.2628, 43.09766
139.7449, 39.82617
140.2270, 39.92578
140.7091, 42.37109
141.1912, 49.40234
141.6733, 74.36523
142.1555, 112.3613
142.6376, 159.2500
143.1197, 225.6309
143.6018, 324.2676
144.0839, 449.7637
144.5660, 582.0645
145.0482, 706.8555
145.5303, 816.7402
146.0124, 908.9512
146.4945, 977.8828
146.9766, 1028.057
147.4587, 1055.826
147.9409, 1052.584
148.4230, 1018.703
148.9051, 966.6738
149.3872, 902.1641
149.8693, 839.4629
150.3514, 788.7773
150.8336, 749.7305
151.3157, 723.6406
151.7978, 713.2227
152.2799, 720.3691
152.7620, 738.1729
153.2441, 761.9561
153.7263, 793.2998
154.2084, 836.2041
154.6905, 900.4648
155.1726, 976.7354
155.6547, 1042.217
156.1368, 1090.179
156.6190, 1140.033
157.1011, 1201.514
157.5832, 1271.859
158.0653, 1345.619
158.5474, 1418.970
159.0295, 1492.266
159.5117, 1570.352
159.9938, 1650.870
160.4759, 1740.693
160.9580, 1833.650
161.4401, 1935.934
161.9222, 2060.659
162.4044, 2217.609
162.8865, 2406.633
163.3686, 2635.795
163.8507, 2946.826
164.3328, 3260.385
164.8149, 3594.970
165.2971, 3921.172
165.7792, 4147.918
166.2613, 4169.504
166.7434, 3941.696
167.2255, 3591.200
167.7076, 3026.436
168.1898, 2418.464
168.6719, 1870.212
169.1540, 1405.680
169.6361, 1016.711
170.1182, 696.5244
170.6003, 469.2910
171.0825, 262.8408
171.5646, 81.28125
172.0467, 2.064453
172.5288, 77.99023
173.0109, 148.5264
173.4930, 208.4805
173.9752, 249.7686
174.4573, 273.5684
174.9394, 289.0000
175.4215, 297.1895
175.9036, 299.6514
176.3857, 298.6309
176.8679, 295.7568
177.3500, 289.3262
177.8321, 277.2236
178.3142, 259.7100
178.7963, 241.3164
179.2784, 224.5742
179.7606, 209.7871
180.2427, 194.8076
180.7248, 180.5410
181.2069, 164.0850
181.6890, 143.0410
182.1711, 117.3789
182.6533, 88.05566
183.1354, 55.70508
183.6175, 19.76855
184.0996, 15.45410
184.5817, 48.23438
185.0638, 80.93262
185.5460, 115.0947
186.0281, 151.1240
186.5102, 189.0576
186.9923, 229.2588
187.4744, 272.7002
187.9565, 316.4355
188.4387, 364.1836
188.9208, 408.9033
189.4029, 445.8086
189.8850, 473.5361
190.3671, 493.8408
190.8492, 509.7861
191.3314, 526.0898
191.8135, 530.1299
192.2956, 515.3809
192.7777, 492.5957
193.2598, 471.1533
193.7419, 454.9473
194.2241, 440.9658
194.7062, 421.8330
195.1883, 384.1230
195.6704, 358.2383
196.1525, 351.5107
196.6346, 354.9219
197.1168, 359.0088
197.5989, 360.0137
198.0810, 358.5264
198.5631, 355.7969
199.0452, 351.6533
199.5273, 347.4004
200.0095, 342.2754
200.4916, 337.3096
200.9737, 333.8896
201.4558, 332.2207
201.9379, 332.2520
202.4200, 333.3037
202.9022, 336.1211
203.3843, 338.3457
203.8664, 341.4014
204.3485, 343.4424
204.8306, 338.4482
205.3127, 320.9561
205.7949, 297.8418
206.2770, 284.7305
206.7591, 284.6768
207.2412, 286.4561
207.7233, 284.5518
208.2054, 279.2178
208.6876, 271.8008
209.1697, 261.0732
209.6518, 250.4971
210.1339, 245.1670
210.6160, 246.7725
211.0981, 250.0684
211.5803, 252.1445
212.0624, 253.1533
212.5445, 250.8818
213.0266, 240.4600
213.5087, 229.1270
213.9908, 223.9902
214.4730, 226.6973
214.9551, 232.2754
215.4372, 235.3643
215.9193, 235.2246
216.4014, 237.1895
216.8836, 243.4424
217.3657, 252.0986
217.8478, 262.3096
218.3299, 273.9814
218.8120, 286.6572
219.2941, 299.5254
219.7763, 312.0596
220.2584, 327.0713
220.7405, 346.2021
221.2226, 367.3779
221.7047, 389.7354
222.1868, 411.9561
222.6690, 432.8555
223.1511, 449.3672
223.6332, 456.5244
224.1153, 471.0220
224.5974, 498.9863
225.0795, 530.7012
225.5617, 559.6748
226.0438, 582.7715
226.5259, 600.8535
227.0080, 617.4873
227.4901, 633.8052
227.9722, 647.7812
228.4544, 657.4644
228.9365, 665.4575
229.4186, 672.7666
229.9007, 678.8242
230.3828, 681.0977
230.8649, 676.3325
231.3471, 664.0166
231.8292, 648.0879
232.3113, 627.2100
232.7934, 605.7461
233.2755, 587.3604
233.7576, 573.2480
234.2398, 562.2998
234.7219, 552.4941
235.2040, 545.7188
235.6861, 537.5840
236.1682, 527.0273
236.6503, 516.3086
237.1325, 506.7363
237.6146, 498.6143
238.0967, 492.6260
238.5788, 489.9980
239.0609, 492.7061
239.5430, 494.8594
240.0252, 494.5400
240.5073, 495.0439
240.9894, 498.5586
241.4715, 505.8916
241.9536, 518.5527
242.4357, 539.0361
242.9179, 568.1318
243.4000, 595.5703
243.8821, 617.8965
244.3642, 639.0508
244.8463, 662.5732
245.3284, 689.2285
245.8106, 719.7930
246.2927, 756.7373
246.7748, 800.3467
247.2569, 842.6113
247.7390, 882.4941
248.2211, 920.2900
248.7033, 955.5391
249.1854, 987.8770
249.6675, 1020.481
250.1496, 1056.537
250.6317, 1095.927
251.1138, 1137.344
251.5960, 1182.886
252.0781, 1229.494
252.5602, 1274.096
253.0423, 1316.241
253.5244, 1355.497
254.0065, 1387.180
