##NAMES=Lanarkite
##RRUFFID=R080116
##IDEAL CHEMISTRY=Pb_2_O(SO_4_)
##LOCALITY=Leadhills, Lanarkshire,  Scotland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Cream colored, elongated prismatic crystals
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080116
130.4407, 0.0000000E+00
130.9229, 6.236328
131.4050, 428.1543
131.8871, 872.7695
132.3692, 1287.809
132.8513, 1762.992
133.3334, 2224.658
133.8156, 2636.900
134.2977, 3037.195
134.7798, 3496.230
135.2619, 4039.963
135.7440, 4672.762
136.2261, 5376.742
136.7083, 6130.105
137.1904, 6927.020
137.6725, 7784.738
138.1546, 8722.031
138.6367, 9742.801
139.1188, 10853.64
139.6010, 12056.26
140.0831, 13340.95
140.5652, 14711.01
141.0473, 16156.66
141.5294, 17698.63
142.0115, 19327.25
142.4937, 20995.63
142.9758, 22867.48
143.4579, 24984.41
143.9400, 27322.15
144.4221, 30082.92
144.9042, 33230.68
145.3864, 36807.30
145.8685, 40869.38
146.3506, 45756.95
146.8327, 50738.87
147.3148, 55864.75
147.7969, 62216.82
148.2791, 66237.28
148.7612, 68152.59
149.2433, 67787.25
149.7254, 64597.39
150.2075, 56464.84
150.6896, 47407.04
151.1718, 38868.52
151.6539, 30183.38
152.1360, 22924.96
152.6181, 17357.41
153.1002, 13249.84
153.5823, 9960.708
154.0645, 7706.224
154.5466, 6007.438
155.0287, 4650.338
155.5108, 3729.021
155.9929, 2967.327
156.4750, 2366.956
156.9572, 1907.133
157.4393, 1524.446
157.9214, 1220.115
158.4035, 971.5220
158.8856, 766.0684
159.3677, 608.7529
159.8499, 454.7158
160.3320, 322.1233
160.8141, 211.6477
161.2962, 115.7390
161.7783, 37.47925
162.2604, 28.00635
162.7426, 83.45459
163.2247, 126.9702
163.7068, 163.8003
164.1889, 196.9939
164.6710, 225.6895
165.1531, 247.9490
165.6353, 259.5591
166.1174, 265.0144
166.5995, 269.3926
167.0816, 277.6812
167.5637, 283.1516
168.0458, 281.1357
168.5280, 271.3491
169.0101, 258.5923
169.4922, 242.4246
169.9743, 225.6626
170.4564, 211.8147
170.9385, 205.2441
171.4207, 200.5103
171.9028, 192.2090
172.3849, 179.7817
