##NAMES=Magnesiotaaffeite-2N2S
##RRUFFID=X090001
##IDEAL CHEMISTRY=Mg_3_BeAl_8_O_16_
##LOCALITY=Ratnapura, Sri Lanka
##OWNER=Bill Pinch
##SOURCE=William W. Pinch
##DESCRIPTION=Dark grey with a hint of purple, flattened tabular hexagonal crystal
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/X090001
152.1549, 0.0000000E+00
152.6370, 0.7836910
153.1191, 1.918655
153.6012, 2.825806
154.0834, 3.285294
154.5655, 3.601578
155.0476, 3.849319
155.5297, 4.517197
156.0118, 4.811493
156.4939, 4.230011
156.9761, 2.865311
157.4582, 1.594879
157.9403, 0.8027650
158.4224, 0.2831120
158.9045, 8.5068002E-02
159.3866, 0.4770660
159.8688, 0.3276370
160.3509, 0.2017970
160.8330, 0.1742710
161.3151, 0.4203800
161.7972, 1.003357
162.2793, 1.880646
162.7615, 3.027847
163.2436, 5.392868
163.7257, 7.156433
164.2078, 7.368698
164.6899, 6.085663
165.1720, 4.485916
165.6541, 2.032471
166.1363, 0.1433110
166.6184, 0.9308930
167.1005, 1.394211
167.5826, 4.144974
168.0647, 5.696335
168.5468, 6.128510
169.0290, 6.300735
169.5111, 6.943237
169.9932, 7.607864
170.4753, 7.693054
170.9574, 6.246490
171.4395, 4.600525
171.9217, 3.937027
172.4038, 4.251495
172.8859, 4.758041
173.3680, 5.143600
173.8501, 5.291199
174.3322, 5.002319
174.8144, 3.544968
175.2965, 1.885834
175.7786, 1.404282
176.2607, 2.142258
176.7428, 3.045013
177.2249, 3.022400
177.7071, 2.454315
178.1892, 2.579025
178.6713, 3.493500
179.1534, 4.772690
179.6355, 5.291824
180.1176, 4.943756
180.5998, 4.371918
181.0819, 4.045242
181.5640, 3.979996
182.0461, 4.340057
182.5282, 5.316620
183.0103, 6.475998
183.4925, 6.963760
183.9746, 6.693558
184.4567, 6.669952
184.9388, 7.388565
185.4209, 8.394928
185.9030, 9.220764
186.3852, 9.613144
186.8673, 9.673904
187.3494, 9.165985
187.8315, 7.729446
188.3136, 6.221848
188.7957, 5.447342
189.2779, 5.464645
189.7600, 6.418137
190.2421, 7.443298
190.7242, 8.511581
191.2063, 9.316818
191.6884, 9.702682
192.1706, 9.584732
192.6527, 8.913742
193.1348, 7.706879
193.6169, 6.771896
194.0990, 6.670151
194.5811, 7.358734
195.0633, 7.580231
195.5454, 7.117401
196.0275, 6.368896
196.5096, 5.985214
196.9917, 5.993988
197.4738, 6.075607
197.9560, 6.049286
198.4381, 5.894073
198.9202, 5.705994
199.4023, 5.462341
199.8844, 5.250092
