##NAMES=Natroboltwoodite
##RRUFFID=R060880
##IDEAL CHEMISTRY=Na(UO_2_)(SiO_3_OH)&#183;H_2_O
##LOCALITY=Alluaiv Mountain, Lovozero, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale yellow massive, X-ray diffraction indicates that this is amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060880
184.1982, 0.0000000E+00
184.6803, 15.30664
185.1624, 2.939453
185.6445, 25.46094
186.1266, 89.20117
186.6087, 138.6699
187.0908, 138.3262
187.5730, 106.7383
188.0551, 113.8496
188.5372, 165.2598
189.0193, 229.0527
189.5014, 274.2051
189.9835, 300.7695
190.4657, 303.5117
190.9478, 263.4512
191.4299, 189.9355
191.9120, 151.9355
192.3941, 156.8281
192.8762, 180.5586
193.3584, 190.0605
193.8405, 185.5469
194.3226, 171.8691
194.8047, 146.0039
195.2868, 109.2598
195.7689, 84.20508
196.2511, 72.49219
196.7332, 72.24805
197.2153, 80.14258
197.6974, 96.61914
198.1795, 120.4492
198.6616, 154.7539
199.1438, 200.7676
199.6259, 239.1426
200.1080, 266.8906
200.5901, 288.1035
201.0722, 314.6914
201.5543, 349.1816
202.0364, 377.3086
202.5186, 382.7129
203.0007, 358.8750
203.4828, 356.4434
203.9649, 386.5879
204.4470, 437.2500
204.9291, 463.0938
205.4113, 453.4102
205.8934, 447.8809
206.3755, 484.7441
206.8576, 578.4844
207.3397, 634.7012
207.8218, 633.9766
208.3040, 586.4258
208.7861, 537.8477
209.2682, 484.2422
209.7503, 442.0312
210.2324, 430.7109
210.7145, 462.9961
211.1967, 483.1406
211.6788, 478.3711
212.1609, 453.5332
212.6430, 448.4082
213.1251, 471.7812
213.6072, 502.2578
214.0894, 522.6934
214.5715, 532.9355
215.0536, 532.8340
215.5357, 519.0176
216.0178, 491.5371
216.4999, 464.7539
216.9820, 430.7207
217.4642, 405.5723
217.9463, 407.8027
218.4284, 447.6582
218.9105, 486.0332
219.3926, 522.2734
219.8747, 558.2031
220.3569, 589.8438
220.8390, 598.0859
221.3211, 587.6016
221.8032, 554.4863
222.2853, 484.2012
222.7674, 426.1914
223.2496, 395.2070
223.7317, 393.9980
224.2138, 396.3145
224.6959, 410.7188
225.1780, 422.1953
225.6601, 410.1504
226.1423, 361.4277
226.6244, 315.3301
227.1065, 280.1270
227.5886, 254.6172
228.0707, 243.9102
228.5528, 251.6328
229.0350, 269.8184
229.5171, 289.2812
229.9992, 314.7480
230.4813, 331.8105
230.9634, 335.9121
231.4455, 325.3809
231.9276, 308.6426
232.4098, 282.8906
232.8919, 252.8066
233.3740, 225.7031
233.8561, 199.5449
234.3382, 180.2227
234.8203, 171.0625
235.3025, 175.7461
235.7846, 176.9707
236.2667, 173.6387
236.7488, 168.0664
237.2309, 163.7988
237.7130, 160.8164
238.1952, 160.4199
238.6773, 164.6797
239.1594, 176.9883
239.6415, 181.4102
240.1236, 174.5449
240.6057, 162.1152
241.0879, 153.9219
241.5700, 154.1289
242.0521, 150.9609
242.5342, 140.3125
243.0163, 117.0020
243.4984, 104.2148
243.9806, 104.4609
244.4627, 112.3125
244.9448, 116.5449
245.4269, 104.2109
245.9090, 106.6348
246.3911, 140.0879
246.8732, 221.8730
247.3554, 269.0703
247.8375, 265.1914
248.3196, 234.2617
