##NAMES=Nepheline
##RRUFFID=R090059
##IDEAL CHEMISTRY=KNa_3_(AlSiO_4_)_4_
##LOCALITY=Lajuar Madan, Sar-e-Sang District, Badakhshan, Afghanistan
##OWNER=RRUFF
##SOURCE=Dudley Blauwet
##DESCRIPTION=Colorless blocky crystals coated with colorless sodalite with electric blue inclusions, on a marble matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R090059
91.82715, 0.0000000E+00
92.30927, 7.0170001E-03
92.79138, 0.9679100
93.27350, 2.902096
93.75562, 4.225761
94.23773, 4.833582
94.71985, 5.130015
95.20197, 5.282115
95.68408, 5.678355
96.16620, 7.184703
96.64832, 7.836138
97.13043, 7.439670
97.61255, 6.695268
98.09467, 4.977870
98.57678, 4.570745
99.05890, 3.713733
99.54102, 2.296620
100.0231, 0.8305860
100.5052, 0.1559210
100.9874, 0.1459520
101.4695, 0.5631650
101.9516, 0.6837720
102.4337, 0.8913540
102.9158, 1.340118
103.3979, 0.3568750
103.8801, 0.1219050
104.3622, 3.078363
104.8443, 5.215298
105.3264, 6.465338
105.8085, 7.763846
106.2906, 9.110745
106.7728, 10.44451
107.2549, 11.62401
107.7370, 12.66355
108.2191, 13.85491
108.7012, 15.54558
109.1833, 17.76217
109.6655, 20.08001
110.1476, 22.42539
110.6297, 24.83686
111.1118, 27.50282
111.5939, 30.61266
112.0760, 33.57283
112.5582, 35.64384
113.0403, 36.89548
113.5224, 38.13037
114.0045, 39.85101
114.4866, 42.03894
114.9688, 44.21213
115.4509, 46.84029
115.9330, 48.94830
116.4151, 49.65693
116.8972, 48.87774
117.3793, 47.71333
117.8615, 47.72273
118.3436, 49.56107
118.8257, 50.98812
119.3078, 51.79656
119.7899, 52.15543
120.2720, 52.07941
120.7542, 51.58378
121.2363, 50.83733
121.7184, 50.33610
122.2005, 50.76322
122.6826, 50.67374
123.1647, 49.83192
123.6468, 48.43323
124.1290, 46.65866
124.6111, 44.52943
125.0932, 42.16557
125.5753, 40.60854
126.0574, 40.52634
126.5395, 40.37527
127.0217, 39.58737
127.5038, 38.18724
127.9859, 36.39734
128.4680, 34.20543
128.9501, 31.71666
129.4323, 29.54657
129.9144, 28.11248
130.3965, 26.78517
130.8786, 24.73026
131.3607, 21.73294
131.8428, 18.89961
132.3250, 17.18276
132.8071, 16.20523
133.2892, 15.44754
133.7713, 14.80155
134.2534, 14.22161
134.7355, 13.51094
135.2177, 12.50171
135.6998, 11.67521
136.1819, 11.19857
136.6640, 11.05019
137.1461, 11.03053
137.6282, 10.87890
138.1104, 10.53886
138.5925, 10.72334
139.0746, 11.92878
139.5567, 13.26728
140.0388, 14.59005
140.5209, 15.78654
141.0031, 16.69265
141.4852, 17.00961
141.9673, 16.20892
142.4494, 16.27058
142.9315, 17.77372
143.4136, 19.56310
143.8958, 20.88864
144.3779, 21.56369
144.8600, 21.93252
145.3421, 22.54335
145.8242, 23.56335
146.3063, 24.53378
146.7885, 25.01581
147.2706, 25.57624
147.7527, 27.16353
148.2348, 30.27838
148.7169, 33.91419
149.1990, 35.96381
149.6812, 36.26394
150.1633, 35.97635
150.6454, 34.98578
151.1275, 33.61385
151.6096, 32.97632
152.0917, 33.74539
152.5739, 35.25003
153.0560, 36.46590
153.5381, 37.45263
154.0202, 37.94662
154.5023, 37.65707
154.9844, 36.56825
155.4665, 35.13174
155.9487, 33.15472
156.4308, 31.09943
156.9129, 29.31409
157.3950, 27.88369
157.8771, 26.65633
158.3592, 25.40217
158.8414, 24.18071
159.3235, 23.02586
159.8056, 22.14233
160.2877, 21.18348
160.7698, 19.81237
161.2519, 17.95662
161.7341, 15.85874
162.2162, 14.28927
162.6983, 13.71692
163.1804, 13.08267
163.6625, 12.02498
164.1446, 10.87484
164.6268, 10.13733
165.1089, 10.12972
165.5910, 10.66114
166.0731, 10.47480
166.5552, 8.673862
167.0373, 7.134343
167.5195, 6.350954
168.0016, 6.103097
168.4837, 5.903334
168.9658, 5.420286
169.4479, 4.689865
169.9300, 4.291577
170.4122, 4.654248
170.8943, 4.873814
171.3764, 4.441641
171.8585, 3.456747
172.3406, 2.393301
172.8227, 1.515801
173.3049, 0.8831600
173.7870, 0.5607290
174.2691, 0.7077310
174.7512, 1.048981
175.2333, 1.474976
175.7154, 1.990452
176.1976, 2.314639
176.6797, 2.199368
177.1618, 1.721639
177.6439, 1.046513
178.1260, 0.2131030
178.6081, 1.500668
179.0903, 1.876913
179.5724, 1.064684
180.0545, 0.1428170
180.5366, 0.2624190
