##NAMES=Normandite
##RRUFFID=R120066
##IDEAL CHEMISTRY=NaCa(Mn,Fe)(Ti,Nb,Zr)(Si_2_O_7_)OF
##LOCALITY=Partomchorr Mt., Khibiny Massif, Kola Peninsula, Murmanskaja Oblast', Northern Region, Russia
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Radiating aggregate of brown bladed crystals, twinned around (001)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120066
103.1743, 0.0000000E+00
103.6564, 3.340424
104.1385, 7.281097
104.6207, 10.74115
105.1028, 13.91974
105.5849, 15.51572
106.0670, 17.43451
106.5491, 19.83356
107.0313, 16.58789
107.5134, 11.41830
107.9955, 6.040161
108.4776, 1.795532
108.9597, 1.453888
109.4418, 3.098022
109.9240, 2.359833
110.4061, 0.4117740
110.8882, 1.932037
111.3703, 4.339569
111.8524, 7.057953
112.3345, 10.73972
112.8167, 15.32135
113.2988, 21.16525
113.7809, 28.68008
114.2630, 37.27609
114.7451, 46.29013
115.2272, 55.20587
115.7094, 64.14365
116.1915, 73.88873
116.6736, 84.95111
117.1557, 96.25974
117.6378, 107.0810
118.1199, 117.7055
118.6021, 129.1030
119.0842, 142.0270
119.5663, 156.6810
120.0484, 172.1113
120.5305, 188.4752
121.0126, 205.5439
121.4948, 223.1129
121.9769, 241.1700
122.4590, 259.6443
122.9411, 278.3120
123.4232, 297.1921
123.9053, 316.6599
124.3875, 336.8072
124.8696, 357.6209
125.3517, 378.9743
125.8338, 401.3225
126.3159, 423.6683
126.7980, 445.7175
127.2802, 467.3767
127.7623, 487.9598
128.2444, 507.6596
128.7265, 526.6652
129.2086, 542.3434
129.6907, 553.7487
130.1729, 562.0282
130.6550, 567.1594
131.1371, 569.2552
131.6192, 568.6764
132.1013, 565.7723
132.5834, 559.7654
133.0656, 552.5384
133.5477, 543.3652
134.0298, 533.6902
134.5119, 524.4678
134.9940, 516.0690
135.4761, 508.3637
135.9583, 501.1714
136.4404, 495.1859
136.9225, 488.9297
137.4046, 482.8764
137.8867, 476.3847
138.3688, 468.6912
138.8510, 459.4394
139.3331, 448.6294
139.8152, 436.3201
140.2973, 422.5383
140.7794, 407.6742
141.2615, 390.8969
141.7437, 372.8037
142.2258, 355.6321
142.7079, 340.1917
143.1900, 327.0045
143.6721, 316.2126
144.1542, 308.0641
144.6364, 302.0221
145.1185, 297.6962
145.6006, 295.1451
146.0827, 293.9745
146.5648, 294.5109
147.0469, 296.1717
147.5291, 298.6941
148.0112, 302.3609
148.4933, 306.4495
148.9754, 309.2225
149.4575, 309.9034
149.9396, 310.5634
150.4218, 312.1888
150.9039, 314.1603
151.3860, 315.5782
151.8681, 315.8027
152.3502, 315.0323
152.8323, 315.0055
153.3145, 317.5662
153.7966, 320.1611
154.2787, 322.1248
154.7608, 323.5433
155.2429, 324.5493
155.7250, 325.4012
156.2072, 326.0021
156.6893, 325.5005
157.1714, 323.2713
157.6535, 320.7607
158.1356, 318.9717
158.6177, 317.7679
159.0999, 316.3991
159.5820, 314.1603
160.0641, 310.8737
160.5462, 307.5471
161.0283, 304.0711
161.5104, 300.4900
161.9926, 296.7382
162.4747, 292.8047
162.9568, 288.3936
163.4389, 283.1412
163.9210, 277.0628
164.4031, 270.6606
164.8853, 264.0836
165.3674, 257.2332
165.8495, 249.9271
166.3316, 241.9043
166.8137, 233.9010
167.2958, 226.4819
167.7780, 219.7182
168.2601, 213.9262
168.7422, 209.7596
169.2243, 206.7488
169.7064, 203.0097
170.1885, 197.6793
170.6707, 192.4579
171.1528, 188.6383
171.6349, 185.9557
172.1170, 183.2242
172.5991, 179.5215
173.0812, 174.8135
173.5634, 169.8749
174.0455, 164.4858
174.5276, 159.0109
175.0097, 153.8435
175.4918, 148.8472
175.9739, 143.4634
176.4561, 137.1170
176.9382, 129.6007
177.4203, 121.5782
177.9024, 112.6761
178.3845, 103.6340
178.8666, 94.59351
179.3488, 85.75128
179.8309, 77.41882
180.3130, 70.23547
180.7951, 64.97607
181.2772, 59.18643
181.7593, 52.20212
182.2415, 45.20059
182.7236, 39.00784
183.2057, 33.83670
183.6878, 29.46344
184.1699, 25.56589
184.6520, 22.20670
185.1342, 19.36542
185.6163, 17.26779
186.0984, 15.60904
186.5805, 13.93155
187.0626, 12.06897
187.5447, 10.53336
188.0269, 10.37369
188.5090, 11.79489
188.9911, 13.37650
189.4732, 14.78571
189.9553, 16.15942
190.4374, 17.70007
190.9196, 19.45947
191.4017, 21.45413
191.8838, 23.84732
192.3659, 26.67099
192.8480, 29.29309
193.3301, 31.32593
193.8123, 32.89148
194.2944, 34.52438
194.7765, 36.61658
195.2586, 38.44052
195.7407, 39.49472
196.2228, 39.77844
196.7050, 39.21173
197.1871, 37.43094
197.6692, 34.49255
198.1513, 31.66309
198.6334, 29.48044
199.1155, 27.21457
199.5977, 24.40469
200.0798, 21.01733
200.5619, 17.28885
201.0440, 13.40125
201.5261, 9.325562
202.0082, 5.130219
202.4904, 0.1156310
202.9725, 4.514679
203.4546, 8.044159
203.9367, 10.43799
204.4188, 12.26694
204.9009, 14.31375
205.3831, 16.93436
205.8652, 18.61911
206.3473, 19.05151
206.8294, 18.84723
207.3115, 18.26138
207.7936, 17.37122
208.2758, 16.16223
