##NAMES=Omphacite
##RRUFFID=R061129
##IDEAL CHEMISTRY=(Ca,Na)(Mg,Fe,Al)Si_2_O_6_
##LOCALITY=near Occidental, Sonoma County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Green granular massive associated with brown grossular and clinochlore
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061129
##MEASURED CHEMISTRY=(Ca_0.51_Na_0.48_)_Σ=0.99_(Mg_0.44_Al_0.44_Fe^2+^_0.14_Fe^3+^_0.02_)_Σ=1.04_Si_2.00_O_6_ ; (darker phase) : (Mg_2.52_Al_0.32_Fe^2+^_2.13_Mn_0.03_)_Σ=5_Al_0.94_(Si_3.00_Al_1.17_)O_10_(OH)_8_ ( lighter, secondary phase = clinochlore)
139.0925, 0.0000000E+00
139.5746, 18.00757
140.0568, 61.16211
140.5389, 113.5168
141.0210, 171.4702
141.5031, 235.5286
141.9852, 305.9832
142.4673, 375.3584
142.9495, 443.5417
143.4316, 511.0425
143.9137, 561.7878
144.3958, 596.7312
144.8779, 616.5117
145.3600, 619.9248
145.8422, 601.8147
146.3243, 574.6428
146.8064, 539.1389
147.2885, 491.2148
147.7706, 442.1428
148.2527, 394.8479
148.7349, 351.0786
149.2170, 318.7769
149.6991, 293.1453
150.1812, 267.5430
150.6633, 246.3425
151.1455, 200.8792
151.6276, 163.7939
152.1097, 152.4448
152.5918, 168.0522
153.0739, 180.6167
153.5560, 182.6987
154.0382, 178.0774
154.5203, 164.0459
155.0024, 158.7659
155.4845, 146.2834
155.9666, 118.3491
156.4487, 77.76050
156.9309, 44.24463
157.4130, 25.74097
157.8951, 14.97241
158.3772, 6.074463
158.8593, 3.073975
159.3414, 9.936523
159.8236, 12.45410
160.3057, 10.43335
160.7878, 9.416504
161.2699, 15.47607
161.7520, 22.56812
162.2341, 23.66772
162.7163, 7.863281
163.1984, 8.315674
163.6805, 15.80396
164.1626, 13.06958
164.6447, 6.301514
165.1268, 5.141846
165.6090, 18.20264
166.0911, 27.42505
166.5732, 28.09619
167.0553, 25.26318
167.5374, 23.68945
168.0195, 25.66333
168.5017, 24.29858
168.9838, 11.42114
169.4659, 9.496826
169.9480, 28.25098
170.4301, 38.50879
170.9122, 44.02417
171.3944, 47.86548
171.8765, 47.14600
172.3586, 50.54419
172.8407, 69.43994
173.3228, 101.5200
173.8049, 133.8433
174.2871, 157.1443
174.7692, 174.9827
175.2513, 192.5325
175.7334, 208.9885
176.2155, 227.5359
176.6976, 253.9241
177.1798, 287.4768
177.6619, 321.6772
178.1440, 355.9597
178.6261, 386.5984
179.1082, 404.7869
179.5903, 398.8777
180.0725, 382.0049
180.5546, 377.0295
181.0367, 384.2908
181.5188, 398.5923
182.0009, 420.1118
182.4830, 445.7644
182.9652, 464.9561
183.4473, 467.1863
183.9294, 459.2659
184.4115, 458.7122
184.8936, 465.5098
185.3757, 480.3542
185.8579, 509.0933
186.3400, 550.0769
186.8221, 588.3806
187.3042, 613.9602
187.7863, 629.8000
188.2684, 651.2573
188.7506, 680.6833
189.2327, 711.3784
189.7148, 735.3386
190.1969, 752.5735
190.6790, 755.8730
191.1611, 734.2358
191.6433, 690.7969
192.1254, 654.6021
192.6075, 629.7292
193.0896, 611.7537
193.5717, 592.2573
194.0538, 571.0366
194.5360, 548.3015
195.0181, 521.7097
195.5002, 491.3352
195.9823, 467.7727
196.4644, 453.7053
196.9465, 446.7969
197.4287, 438.7021
197.9108, 429.3982
198.3929, 418.1699
198.8750, 401.5723
199.3571, 378.2141
199.8392, 364.5278
200.3214, 364.8237
200.8035, 376.8870
201.2856, 391.3752
201.7677, 409.6287
202.2498, 426.5552
202.7319, 436.9653
203.2141, 440.2356
203.6962, 441.0869
204.1783, 438.7473
204.6604, 434.0642
205.1425, 435.8835
205.6246, 444.6978
206.1068, 459.0439
206.5889, 478.5647
207.0710, 504.2932
207.5531, 530.1638
208.0352, 555.5847
208.5173, 580.6909
208.9995, 600.9275
209.4816, 616.1492
209.9637, 627.0847
210.4458, 633.9812
210.9279, 635.5583
211.4100, 636.6545
211.8922, 639.3899
212.3743, 644.2729
212.8564, 644.3499
213.3385, 636.7993
213.8206, 627.3774
214.3027, 625.4175
214.7849, 633.8018
215.2670, 641.9321
215.7491, 648.2761
216.2312, 654.6846
216.7133, 646.6521
217.1954, 616.5220
217.6776, 578.0645
218.1597, 556.5942
218.6418, 562.1047
219.1239, 567.3293
219.6060, 560.5427
220.0882, 536.6501
220.5703, 520.7551
221.0524, 516.0698
221.5345, 516.5608
222.0166, 510.3464
222.4987, 495.1270
222.9809, 475.9656
223.4630, 453.0532
223.9451, 420.4302
224.4272, 400.6833
224.9093, 400.7458
225.3914, 412.6318
225.8736, 413.3601
226.3557, 395.2122
226.8378, 375.8220
227.3199, 363.2444
227.8020, 361.5527
228.2841, 355.2258
228.7663, 341.4590
229.2484, 323.9041
229.7305, 313.3562
230.2126, 313.6028
230.6947, 314.5967
231.1768, 311.3176
231.6590, 301.7722
232.1411, 294.3994
232.6232, 289.2629
233.1053, 286.0574
233.5874, 284.1631
234.0695, 287.0767
234.5517, 286.6958
235.0338, 277.6287
235.5159, 254.4287
235.9980, 233.8708
236.4801, 216.4424
236.9622, 202.3062
237.4444, 192.0571
237.9265, 186.6079
238.4086, 183.9260
238.8907, 183.4465
239.3728, 188.2346
239.8549, 189.0779
240.3371, 186.0408
240.8192, 178.7144
241.3013, 163.4714
241.7834, 132.1360
242.2655, 102.7307
242.7477, 87.60498
243.2298, 94.35669
243.7119, 100.2854
244.1940, 103.8113
244.6761, 104.9360
245.1582, 103.1360
245.6404, 95.44629
246.1225, 88.38770
246.6046, 87.33594
247.0867, 97.39111
247.5688, 101.9375
248.0509, 95.08130
248.5331, 79.42749
249.0152, 77.98706
249.4973, 101.2617
249.9794, 125.8340
250.4615, 133.3403
250.9436, 112.7144
251.4258, 98.83008
251.9079, 98.75977
252.3900, 110.4233
252.8721, 113.0847
253.3542, 101.6794
253.8363, 87.82178
254.3185, 79.78027
254.8006, 78.34180
255.2827, 81.26953
255.7648, 89.87866
256.2469, 103.4548
256.7290, 113.7751
257.2112, 118.9492
257.6933, 123.7395
258.1754, 132.8574
258.6575, 150.9619
259.1396, 161.1262
259.6217, 156.1082
260.1039, 139.3037
260.5860, 143.1372
261.0681, 179.8887
261.5502, 218.1489
262.0323, 231.9739
262.5144, 211.4731
262.9966, 194.3601
263.4787, 184.8123
263.9608, 182.8560
264.4429, 190.8516
264.9250, 213.3076
265.4071, 237.7825
265.8893, 255.6819
266.3714, 266.6350
266.8535, 271.3352
267.3356, 268.3513
267.8177, 258.9260
268.2998, 249.5955
268.7820, 240.0322
269.2641, 231.3474
269.7462, 226.7422
270.2283, 229.5032
270.7104, 220.5457
271.1925, 192.0007
271.6747, 149.6602
272.1568, 123.4624
272.6389, 116.6614
273.1210, 116.8918
273.6031, 118.1765
274.0852, 122.5864
274.5674, 113.5229
275.0495, 84.50684
275.5316, 41.19849
276.0137, 4.519043
276.4958, 25.13281
276.9779, 49.56836
277.4601, 69.79712
277.9422, 85.57251
278.4243, 98.99316
278.9064, 110.4182
279.3885, 119.6628
279.8706, 126.1870
280.3528, 129.8525
280.8349, 131.5310
281.3170, 130.1848
281.7991, 125.7883
282.2812, 126.7966
282.7633, 137.6626
283.2455, 151.8337
283.7276, 150.1638
284.2097, 131.5413
284.6918, 108.9358
285.1739, 89.88330
285.6560, 74.37500
286.1382, 63.16235
286.6203, 57.87720
