##NAMES=Ottoite
##RRUFFID=R130126
##IDEAL CHEMISTRY=Pb_2_TeO_5_
##LOCALITY=Grand Central mine, Tombstone, Cochise County, Arizona
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Clusters of pale yellow-green spear-shaped crystals, in subparallel to divergent intergrowths.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130126
152.4284, 0.0000000E+00
152.9105, 0.5962830
153.3926, 1.063492
153.8747, 1.337830
154.3568, 0.8592070
154.8389, 0.2651820
155.3211, 1.6083000E-02
155.8032, 3.2607999E-02
156.2853, 7.5820997E-02
156.7674, 0.1128690
157.2495, 2.0111000E-02
157.7316, 0.1629180
158.2138, 0.2586670
158.6959, 0.2460330
159.1780, 0.1895290
159.6601, 0.1899870
160.1422, 0.1715240
160.6243, 3.4042001E-02
161.1065, 0.5061340
161.5886, 1.263840
162.0707, 2.273651
162.5528, 3.867020
163.0349, 5.375336
163.5170, 6.241608
163.9991, 6.540558
164.4813, 6.982315
164.9634, 7.927872
165.4455, 9.381042
165.9276, 11.25677
166.4097, 13.63860
166.8918, 16.38025
167.3740, 19.34021
167.8561, 22.52423
168.3382, 25.86880
168.8203, 29.36798
169.3024, 32.97781
169.7845, 36.68753
170.2667, 40.47433
170.7488, 44.35129
171.2309, 48.38702
171.7130, 52.73509
172.1951, 56.94720
172.6772, 60.84677
173.1594, 64.55722
173.6415, 68.27618
174.1236, 72.11206
174.6057, 76.03992
175.0878, 79.85742
175.5699, 83.52954
176.0521, 87.12067
176.5342, 90.54922
177.0163, 93.91396
177.4984, 97.31851
177.9805, 100.8303
178.4626, 104.4555
178.9448, 108.4236
179.4269, 112.6239
179.9090, 117.2700
180.3911, 122.6512
180.8732, 128.5799
181.3553, 134.5408
181.8375, 140.0729
182.3196, 145.0885
182.8017, 150.5392
183.2838, 156.5182
183.7659, 162.7302
184.2480, 169.0270
184.7301, 175.3985
185.2123, 181.9190
185.6944, 188.6368
186.1765, 195.5835
186.6586, 202.5141
187.1407, 209.7169
187.6228, 216.6514
188.1050, 223.1882
188.5871, 229.2405
189.0692, 234.3123
189.5513, 238.1891
190.0334, 240.7107
190.5155, 240.5107
190.9977, 236.6425
191.4798, 230.3312
191.9619, 222.8825
192.4440, 214.4540
192.9261, 204.7309
193.4082, 192.5320
193.8904, 178.5537
194.3725, 164.7600
194.8546, 151.3910
195.3367, 138.6196
195.8188, 126.7334
196.3009, 115.7839
196.7831, 105.7390
197.2652, 96.52881
197.7473, 88.03600
198.2294, 80.30267
198.7115, 73.28955
199.1936, 66.99623
199.6758, 61.53317
200.1579, 57.10983
200.6400, 53.30409
201.1221, 50.00058
201.6042, 47.07205
202.0863, 44.25986
202.5685, 41.31458
203.0506, 38.25894
203.5327, 35.60698
204.0148, 33.62558
204.4969, 31.83124
204.9790, 29.96945
205.4612, 28.13802
205.9433, 26.57887
206.4254, 25.53635
206.9075, 25.03424
207.3896, 24.58284
207.8717, 24.25243
208.3539, 23.91055
208.8360, 23.51765
209.3181, 23.07826
209.8002, 22.59445
210.2823, 21.94868
210.7644, 21.15274
211.2466, 20.83862
211.7287, 21.27219
212.2108, 21.88997
212.6929, 22.42632
213.1750, 22.92865
213.6571, 23.64081
214.1393, 24.79390
214.6214, 26.47800
215.1035, 28.36324
215.5856, 30.41132
216.0677, 32.57027
216.5498, 34.74178
217.0320, 37.00441
217.5141, 39.62875
217.9962, 42.83310
218.4783, 46.65247
218.9604, 50.44379
219.4425, 54.10555
219.9247, 57.86057
220.4068, 61.80435
220.8889, 65.94258
221.3710, 70.27917
221.8531, 74.83444
222.3352, 79.68661
222.8174, 84.84198
223.2995, 90.61339
223.7816, 96.37813
224.2637, 101.6343
224.7458, 106.3785
225.2279, 110.9173
225.7100, 115.4171
226.1922, 119.9039
226.6743, 124.5909
227.1564, 129.5902
227.6385, 134.7370
228.1206, 139.8345
228.6027, 144.8666
229.0849, 149.9222
229.5670, 154.9981
230.0491, 160.1263
230.5312, 165.4216
231.0133, 170.4020
231.4954, 175.8206
231.9776, 183.1050
232.4597, 192.6231
232.9418, 201.4032
233.4239, 206.6481
233.9060, 210.0891
234.3881, 214.3234
234.8703, 220.3652
235.3524, 227.1663
235.8345, 233.3958
236.3166, 239.0263
236.7987, 244.3289
237.2808, 249.7051
237.7630, 254.7722
238.2451, 259.0987
238.7272, 262.6203
239.2093, 265.2425
239.6914, 266.8314
240.1735, 267.4226
240.6557, 266.8202
241.1378, 265.3933
241.6199, 262.6316
242.1020, 257.7103
242.5841, 250.1899
243.0662, 240.9397
243.5484, 231.3944
244.0305, 221.6886
244.5126, 211.3159
244.9947, 199.8211
245.4768, 187.8603
245.9589, 175.8331
246.4410, 163.8263
246.9232, 152.1310
247.4053, 141.0553
247.8874, 130.6751
248.3695, 120.8614
248.8516, 111.5647
249.3337, 102.7750
249.8159, 94.48448
250.2980, 86.68092
250.7801, 79.46240
251.2622, 72.96146
251.7443, 67.40723
252.2264, 62.18362
252.7086, 57.04630
253.1907, 52.26546
253.6728, 48.02548
254.1549, 44.37830
254.6370, 41.19856
255.1191, 38.34464
255.6013, 36.11089
256.0834, 33.58102
256.5655, 30.34167
257.0476, 27.14224
257.5297, 24.45953
258.0118, 22.38452
258.4940, 20.66876
258.9761, 18.95306
259.4582, 17.03455
259.9403, 15.68484
260.4224, 15.21745
260.9045, 14.93729
261.3867, 14.51448
261.8688, 13.86205
262.3509, 12.99944
262.8330, 11.93321
263.3151, 10.62260
263.7972, 9.231491
264.2794, 7.453613
264.7615, 5.865372
265.2436, 4.837204
265.7257, 4.346649
266.2078, 4.129288
266.6899, 3.968430
267.1721, 3.912048
267.6542, 3.569016
268.1363, 2.634476
268.6184, 1.750381
269.1005, 1.253891
269.5826, 1.108871
270.0648, 1.107040
270.5469, 1.118546
271.0290, 1.154541
271.5111, 0.8212280
271.9932, 0.2784580
272.4753, 1.276505
272.9575, 1.699677
273.4396, 1.697128
273.9217, 1.748260
274.4038, 2.211731
274.8859, 3.026489
275.3680, 3.403503
275.8501, 3.086075
276.3322, 2.726425
276.8144, 2.547943
277.2965, 2.492615
277.7786, 2.385345
278.2607, 2.103760
278.7428, 1.736115
279.2249, 1.686249
279.7071, 2.364349
280.1892, 2.816345
280.6713, 2.710831
281.1534, 2.230286
281.6355, 1.669907
282.1176, 1.141785
282.5998, 0.6484990
283.0819, 0.2121580
283.5640, 0.1618500
284.0461, 0.5075530
284.5282, 0.8418730
285.0103, 1.150604
285.4925, 1.359360
285.9746, 1.422134
286.4567, 1.518509
286.9388, 1.982437
287.4209, 2.879593
287.9030, 3.866058
288.3852, 4.883545
288.8673, 5.963257
289.3494, 7.153763
289.8315, 8.469193
290.3136, 9.830429
290.7957, 11.13428
291.2779, 12.35065
291.7600, 13.72740
292.2421, 15.31409
292.7242, 17.05731
293.2063, 18.87561
293.6884, 20.76814
294.1706, 22.84149
294.6527, 25.22487
295.1348, 27.94553
295.6169, 30.75252
296.0990, 33.23338
296.5811, 36.09840
297.0633, 40.16060
297.5454, 45.33330
298.0275, 50.56194
298.5096, 55.07866
298.9917, 58.98999
299.4738, 63.19469
299.9560, 68.10103
300.4381, 72.88699
300.9202, 76.81148
301.4023, 80.11057
301.8844, 83.89645
302.3665, 88.73225
302.8487, 94.53735
303.3308, 101.0386
303.8129, 109.1424
304.2950, 116.4875
304.7771, 121.3950
305.2592, 124.6994
305.7414, 128.5479
306.2235, 133.7540
306.7056, 139.8587
307.1877, 146.0444
307.6698, 152.3635
308.1519, 158.5686
308.6341, 164.4572
309.1162, 170.1956
309.5983, 175.9630
310.0804, 181.7542
310.5625, 187.7085
311.0446, 194.0527
311.5268, 200.8153
312.0089, 207.4701
312.4910, 213.7549
312.9731, 219.9450
313.4552, 226.5667
313.9373, 233.7014
314.4195, 240.6374
314.9016, 246.5201
315.3837, 251.4645
315.8658, 257.0528
316.3479, 264.5711
316.8300, 271.9572
317.3121, 277.5410
317.7943, 281.3216
318.2764, 284.0820
318.7585, 286.3950
319.2406, 287.9866
319.7227, 288.2304
320.2048, 287.0545
320.6870, 284.6787
321.1691, 281.2711
321.6512, 276.7883
322.1333, 270.9827
322.6154, 263.7490
323.0975, 255.1092
323.5797, 245.2543
324.0618, 233.8090
324.5439, 222.1786
325.0260, 210.8087
325.5081, 199.5802
325.9902, 188.0730
326.4724, 176.0666
326.9545, 164.0152
327.4366, 152.5591
327.9187, 141.6555
328.4008, 131.3448
328.8829, 121.6631
