##NAMES=Palermoite
##RRUFFID=R130090
##IDEAL CHEMISTRY=Li_2_SrAl_4_(PO_4_)_4_(OH)_4_
##LOCALITY=Palermo Mine, N. Groton, New Hampshire, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch and Don Doell
##DESCRIPTION=Colorless prismatic crystal, associated with quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130090
236.8893, 0.0000000E+00
237.3715, 4.649231
237.8536, 8.301941
238.3357, 10.33948
238.8178, 11.45422
239.2999, 11.28537
239.7820, 9.975555
240.2642, 9.240692
240.7463, 8.926422
241.2284, 8.667633
241.7105, 7.694427
242.1926, 5.732971
242.6747, 3.988586
243.1569, 3.259430
243.6390, 3.113464
244.1211, 2.217743
244.6032, 1.205597
245.0853, 0.4794920
245.5674, 2.1729000E-02
246.0496, 0.1429440
246.5317, 0.3115230
247.0138, 0.4173580
247.4959, 0.4238590
247.9780, 0.3354490
248.4601, 2.1484001E-02
248.9423, 0.3638000
249.4244, 0.5800170
249.9065, 0.7085880
250.3886, 0.4601750
250.8707, 0.4921260
251.3528, 2.211914
251.8350, 3.345184
252.3171, 3.497375
252.7992, 3.273193
253.2813, 3.473083
253.7634, 4.322113
254.2455, 5.020874
254.7277, 5.435516
255.2098, 5.398651
255.6919, 5.272888
256.1740, 5.046600
256.6561, 4.798950
257.1382, 4.612915
257.6204, 4.612915
258.1025, 4.525879
258.5846, 4.223724
259.0667, 3.704895
259.5488, 3.470428
260.0309, 3.649872
260.5131, 3.975342
260.9952, 4.261139
261.4773, 4.471130
261.9594, 4.802460
262.4415, 5.347260
262.9236, 6.021454
263.4058, 6.736633
263.8879, 7.665802
264.3700, 8.584198
264.8521, 9.194031
265.3342, 10.09747
265.8163, 11.21359
266.2985, 11.97937
266.7806, 12.29510
267.2627, 12.86554
267.7448, 14.29089
268.2269, 15.54321
268.7090, 15.66888
269.1912, 14.27414
269.6733, 13.21002
270.1554, 12.84335
270.6375, 12.90744
271.1196, 12.37219
271.6017, 11.01279
272.0839, 9.809174
272.5660, 9.588257
273.0481, 10.54538
273.5302, 11.17761
274.0123, 11.28473
274.4944, 11.02304
274.9766, 10.75629
275.4587, 10.41348
275.9408, 10.35303
276.4229, 10.99005
276.9050, 12.42380
277.3871, 13.32339
277.8693, 13.47290
278.3514, 13.18726
278.8335, 13.11398
279.3156, 13.25824
279.7977, 13.58575
280.2798, 14.30734
280.7620, 15.42261
281.2441, 15.74234
281.7262, 15.04877
282.2083, 13.82217
282.6904, 12.92249
283.1725, 12.37604
283.6547, 11.75577
284.1368, 10.76859
284.6189, 9.461853
285.1010, 8.332092
285.5831, 7.408936
286.0652, 6.606964
286.5474, 5.769714
287.0295, 4.900787
287.5116, 4.188263
287.9937, 3.935913
288.4758, 3.987366
288.9579, 3.346527
289.4401, 1.915436
289.9222, 0.2934880
290.4043, 0.9259950
290.8864, 1.740173
291.3685, 2.107697
291.8506, 1.680603
292.3328, 0.8305970
292.8149, 0.7612610
293.2970, 1.518341
293.7791, 2.486389
294.2612, 3.133484
294.7433, 2.873383
295.2255, 2.393677
295.7076, 1.694916
296.1897, 0.8051150
296.6718, 0.3016360
297.1539, 1.615753
297.6360, 2.889893
298.1182, 3.929169
298.6003, 4.761169
299.0824, 5.410828
299.5645, 5.616547
300.0466, 5.937561
300.5287, 7.517181
301.0109, 10.16611
301.4930, 12.58768
301.9751, 13.46735
302.4572, 13.54602
302.9393, 14.05200
303.4214, 15.29513
303.9036, 16.98880
304.3857, 18.79861
304.8678, 20.77414
305.3499, 23.14606
305.8320, 26.47498
306.3141, 30.10138
306.7963, 32.99905
307.2784, 34.73224
307.7605, 36.65958
308.2426, 40.12866
308.7247, 44.72351
309.2068, 49.38614
309.6890, 53.36740
310.1711, 57.27881
310.6532, 61.65549
311.1353, 66.60986
311.6174, 71.65494
312.0995, 76.49847
312.5817, 81.14764
313.0638, 85.68753
313.5459, 89.92566
314.0280, 94.28061
314.5101, 99.01590
314.9922, 104.1376
315.4744, 109.5601
315.9565, 115.3913
316.4386, 121.4417
316.9207, 127.4160
317.4028, 132.7584
317.8849, 138.5255
318.3671, 145.1599
318.8492, 152.7097
319.3313, 160.6972
319.8134, 168.7063
320.2955, 177.2722
320.7776, 186.7167
321.2598, 197.7509
321.7419, 209.0597
322.2240, 220.5579
322.7061, 232.1549
323.1882, 243.4117
323.6703, 254.6339
324.1525, 265.2551
324.6346, 274.8517
325.1167, 283.3204
325.5988, 290.9820
326.0809, 298.6202
326.5630, 305.5453
327.0452, 309.8835
327.5273, 310.8258
328.0094, 309.7215
