##NAMES=Parisite-(Ce)
##RRUFFID=R120061
##IDEAL CHEMISTRY=CaCe_2_(CO_3_)_3_F_2_
##LOCALITY=Snowbird mine, Fish Creek, Alberton, Mineral County, Montana, USA
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Brown hexagonal prismatic crystals, associated with white quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120061
189.3261, 0.0000000E+00
189.8082, 0.3240050
190.2903, 3.9670002E-03
190.7725, 0.2369230
191.2546, 0.8217160
191.7367, 1.149582
192.2188, 0.9664920
192.7009, 0.4845120
193.1830, 0.1400450
193.6652, 8.7448001E-02
194.1473, 0.1788330
194.6294, 0.1885530
195.1115, 0.1155700
195.5936, 0.2352750
196.0757, 0.9977420
196.5579, 1.825439
197.0400, 1.911316
197.5221, 1.203018
198.0042, 0.4372410
198.4863, 6.2560001E-03
198.9684, 0.1291500
199.4506, 9.4192997E-02
199.9327, 9.9243000E-02
200.4148, 0.4142610
200.8969, 0.8685300
201.3790, 1.548904
201.8611, 1.964752
202.3433, 1.602188
202.8254, 0.3423460
203.3075, 0.2339940
203.7896, 0.1091310
204.2717, 1.083969
204.7538, 1.993439
205.2360, 2.819366
205.7181, 3.633972
206.2002, 4.547745
206.6823, 5.622803
207.1644, 6.341583
207.6465, 6.554382
208.1287, 6.439560
208.6108, 6.573807
209.0929, 7.037567
209.5750, 7.524460
210.0571, 7.824387
210.5392, 7.896347
211.0214, 7.979599
211.5035, 8.044571
211.9856, 8.151031
212.4677, 8.583023
212.9498, 9.505859
213.4319, 10.39986
213.9140, 10.91595
214.3962, 10.91539
214.8783, 11.05533
215.3604, 11.41693
215.8425, 11.95741
216.3246, 12.48058
216.8067, 12.99162
217.2889, 13.48657
217.7710, 13.96199
218.2531, 14.39896
218.7352, 14.85501
219.2173, 15.32024
219.6994, 15.81439
220.1816, 16.39941
220.6637, 17.11165
221.1458, 17.86430
221.6279, 18.58009
222.1100, 19.21687
222.5921, 19.94016
223.0743, 20.75136
223.5564, 21.65778
224.0385, 22.79518
224.5206, 24.30516
225.0027, 25.78290
225.4848, 26.96646
225.9670, 27.73761
226.4491, 28.48619
226.9312, 29.25009
227.4133, 30.01854
227.8954, 30.75626
228.3775, 31.32735
228.8597, 32.04071
229.3418, 33.08824
229.8239, 34.57426
230.3060, 36.14955
230.7881, 37.82988
231.2702, 39.58208
231.7524, 41.16321
232.2345, 42.42789
232.7166, 43.68512
233.1987, 45.11671
233.6808, 46.86394
234.1629, 48.44586
234.6451, 49.78381
235.1272, 50.93199
235.6093, 52.17839
236.0914, 53.62198
236.5735, 55.02718
237.0556, 56.24162
237.5378, 57.12366
238.0199, 58.13908
238.5020, 59.36795
238.9841, 60.76154
239.4662, 62.04387
239.9483, 63.10001
240.4305, 64.21925
240.9126, 65.61032
241.3947, 67.53122
241.8768, 69.15196
242.3589, 70.28177
242.8410, 71.09375
243.3232, 72.27495
243.8053, 74.15573
244.2874, 75.94049
244.7695, 77.11250
245.2516, 77.09048
245.7337, 77.78461
246.2159, 79.49384
246.6980, 81.92545
247.1801, 83.98438
247.6622, 86.00015
248.1443, 87.62103
248.6264, 88.58197
249.1086, 88.48096
249.5907, 88.69643
250.0728, 89.37177
250.5549, 90.34372
251.0370, 91.16180
251.5191, 91.70840
252.0013, 92.29492
252.4834, 93.13498
252.9655, 94.49265
253.4476, 95.33069
253.9297, 95.20578
254.4118, 94.75900
254.8940, 95.64188
255.3761, 98.89340
255.8582, 101.6376
256.3403, 102.4513
256.8224, 100.5020
257.3046, 99.37190
257.7867, 99.26352
258.2688, 99.84067
258.7509, 100.5482
259.2330, 101.5554
259.7151, 102.3166
260.1973, 102.5489
260.6794, 102.0837
261.1615, 101.8205
261.6436, 101.8297
262.1257, 101.9886
262.6078, 102.0872
263.0900, 102.0799
263.5721, 102.1412
264.0542, 102.4096
264.5363, 102.9828
265.0184, 103.1622
265.5005, 102.8968
265.9827, 102.3206
266.4648, 101.5345
266.9469, 100.4008
267.4290, 99.48660
267.9111, 99.05621
268.3932, 99.15788
268.8754, 98.92949
269.3575, 98.32657
269.8396, 97.45242
270.3217, 96.38519
270.8038, 95.05246
271.2859, 93.80399
271.7681, 92.81119
272.2502, 92.05827
272.7323, 90.99094
273.2144, 89.57950
273.6965, 87.94513
274.1786, 86.20599
274.6608, 84.33693
275.1429, 82.40797
275.6250, 80.38841
276.1071, 78.31848
276.5892, 76.47791
277.0714, 74.98773
277.5535, 73.46585
278.0356, 71.54634
278.5177, 69.20131
278.9998, 66.70938
279.4819, 64.03323
279.9641, 61.26131
280.4462, 58.99428
280.9283, 57.33817
281.4104, 55.69836
281.8925, 53.41974
282.3746, 50.48929
282.8568, 47.99612
283.3389, 46.24870
283.8210, 44.95631
284.3031, 43.19437
284.7852, 40.88246
285.2673, 38.77776
285.7495, 37.52124
286.2316, 37.04948
286.7137, 36.50693
287.1958, 35.79662
287.6779, 34.95374
288.1600, 34.10660
288.6422, 33.25827
289.1243, 32.15085
289.6064, 30.31360
290.0885, 27.96463
290.5706, 26.42847
291.0527, 25.95203
291.5349, 25.99153
292.0170, 25.73404
292.4991, 25.20128
292.9812, 24.63542
293.4633, 24.16635
293.9454, 23.76965
294.4276, 23.41571
294.9097, 23.13422
295.3918, 22.77707
295.8739, 22.02644
296.3560, 20.98741
296.8381, 20.11340
297.3203, 19.80466
297.8024, 19.78670
298.2845, 19.40652
298.7666, 18.61147
299.2487, 17.85614
299.7308, 17.75217
300.2130, 18.07509
300.6951, 18.18320
301.1772, 17.75835
301.6593, 17.04158
302.1414, 16.24902
302.6235, 15.39027
303.1057, 14.65512
303.5878, 14.29593
304.0699, 14.16504
304.5520, 13.99275
305.0341, 13.58342
305.5162, 13.17520
305.9984, 13.24088
306.4805, 13.68047
306.9626, 13.74435
307.4447, 12.53552
307.9268, 10.74858
308.4089, 9.269653
308.8911, 8.372314
309.3732, 7.824478
309.8553, 7.562759
310.3374, 7.506104
310.8195, 7.400726
311.3016, 7.126038
311.7838, 6.799683
312.2659, 6.531403
312.7480, 6.351044
313.2301, 6.178970
313.7122, 6.004990
314.1943, 5.808777
314.6765, 5.563446
315.1586, 5.030869
315.6407, 4.542786
316.1228, 4.284119
316.6049, 4.359116
317.0870, 4.580048
317.5692, 5.206619
318.0513, 5.849304
318.5334, 5.958099
319.0155, 4.832687
319.4976, 3.584351
319.9797, 2.634842
320.4619, 2.015076
320.9440, 1.680054
321.4261, 1.865662
321.9082, 2.224945
322.3903, 2.429504
