##NAMES=Peretaite
##RRUFFID=R060459
##IDEAL CHEMISTRY=CaSb^3+^_4_O_4_(SO_4_)_2_(OH)_2_&#183;2H_2_O
##LOCALITY=Pereta mine, Grosseto, Tuscany, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless thin plates, with red incrustations of valentinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060459
178.2984, 0.0000000E+00
178.7805, 1.707886
179.2626, 3.213013
179.7447, 4.000244
180.2268, 1.706543
180.7090, 0.3277590
181.1911, 1.459229
181.6732, 0.9830320
182.1553, 2.148682
182.6374, 6.877808
183.1195, 10.67432
183.6017, 13.35425
184.0838, 16.03601
184.5659, 20.14478
185.0480, 25.47754
185.5301, 31.48682
186.0123, 36.70984
186.4944, 42.22229
186.9765, 51.38757
187.4586, 64.60425
187.9407, 80.57092
188.4228, 98.41650
188.9050, 117.8640
189.3871, 137.2301
189.8692, 154.9175
190.3513, 171.3396
190.8334, 189.4667
191.3155, 209.6729
191.7977, 230.6823
192.2798, 251.1664
192.7619, 271.1519
193.2440, 289.0720
193.7261, 305.1241
194.2082, 319.0468
194.6904, 328.1005
195.1725, 331.8188
195.6546, 331.4347
196.1367, 329.2845
196.6188, 325.5245
197.1009, 318.4224
197.5831, 306.3149
198.0652, 289.1228
198.5473, 271.1952
199.0294, 252.4680
199.5115, 233.4886
199.9937, 214.9261
200.4758, 196.7825
200.9579, 180.2124
201.4400, 165.7483
201.9221, 153.2974
202.4042, 144.0970
202.8864, 138.8923
203.3685, 136.2462
203.8506, 132.1462
204.3327, 125.7051
204.8148, 121.5764
205.2969, 122.9570
205.7791, 130.5918
206.2612, 138.0889
206.7433, 144.9473
207.2254, 151.5956
207.7075, 159.0773
208.1896, 167.5609
208.6718, 176.4628
209.1539, 185.4048
209.6360, 194.0731
210.1181, 204.0941
210.6002, 215.9424
211.0823, 229.0050
211.5645, 241.7028
212.0466, 254.2869
212.5287, 266.1265
213.0108, 276.7097
213.4929, 285.7504
213.9750, 294.9802
214.4572, 304.4330
214.9393, 314.1534
215.4214, 324.8441
215.9035, 337.3412
216.3856, 349.1753
216.8678, 358.4540
217.3499, 364.2191
217.8320, 370.8876
218.3141, 378.8196
