##NAMES=Pyroaurite
##RRUFFID=R100053
##IDEAL CHEMISTRY=Mg_6_Fe^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale bluish-green hexagonal tablets embedded in calcite, associated with magnetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100053
184.0996, 0.0000000E+00
184.5817, 0.2609940
185.0638, 0.5686190
185.5460, 0.7871320
186.0281, 1.523796
186.5102, 1.437737
186.9923, 1.037468
187.4744, 0.2076640
187.9565, 0.1409610
188.4387, 0.4528580
188.9208, 1.295555
189.4029, 2.027954
189.8850, 2.390121
190.3671, 2.408699
190.8492, 2.352936
191.3314, 2.093132
191.8135, 2.087975
192.2956, 2.852669
192.7777, 3.706459
193.2598, 3.847206
193.7419, 2.947449
194.2241, 1.527657
194.7062, 0.7053150
195.1883, 0.8962860
195.6704, 1.288551
196.1525, 2.177711
196.6346, 3.120277
197.1168, 3.557877
197.5989, 3.248718
198.0810, 2.448860
198.5631, 1.993034
199.0452, 2.332794
199.5273, 2.517136
200.0095, 2.255203
200.4916, 1.774765
200.9737, 1.344963
201.4558, 1.123535
201.9379, 1.119881
202.4200, 1.314980
202.9022, 1.853500
203.3843, 2.290756
203.8664, 2.561562
204.3485, 2.858253
204.8306, 2.782185
205.3127, 2.927135
205.7949, 3.293526
206.2770, 3.343834
206.7591, 2.845844
207.2412, 2.354187
207.7233, 2.079712
208.2054, 1.995209
208.6876, 2.107464
209.1697, 2.276306
209.6518, 2.519474
210.1339, 2.761902
210.6160, 2.612762
211.0981, 2.492683
211.5803, 2.801151
212.0624, 3.558987
212.5445, 4.190434
213.0266, 4.631836
213.5087, 4.880264
213.9908, 4.871502
214.4730, 4.349434
214.9551, 3.608170
215.4372, 2.822151
215.9193, 1.943195
216.4014, 1.368191
216.8836, 1.513851
217.3657, 1.897587
217.8478, 2.270943
218.3299, 2.581959
218.8120, 2.794865
219.2941, 2.818275
219.7763, 2.580475
220.2584, 2.407925
220.7405, 2.463516
221.2226, 2.534889
221.7047, 2.523949
222.1868, 2.395123
222.6690, 2.083748
223.1511, 1.351009
223.6332, 0.3391420
224.1153, 1.180988
224.5974, 0.3563880
225.0795, 0.8239250
225.5617, 1.412067
226.0438, 1.146763
226.5259, 0.4315870
227.0080, 7.4436001E-02
227.4901, 0.4269140
227.9722, 0.4051480
228.4544, 0.3552740
228.9365, 1.217133
229.4186, 1.648853
229.9007, 1.516090
230.3828, 1.099091
230.8649, 0.8952260
231.3471, 1.202156
231.8292, 1.232506
232.3113, 0.6944920
232.7934, 7.3380001E-02
233.2755, 0.1712190
233.7576, 7.0106998E-02
234.2398, 0.4796910
234.7219, 0.5115010
235.2040, 0.2814180
235.6861, 0.6425090
236.1682, 0.3489000
236.6503, 0.2425610
237.1325, 0.9284290
237.6146, 1.630779
238.0967, 2.173553
238.5788, 2.243797
239.0609, 1.475502
239.5430, 1.088196
240.0252, 1.479595
240.5073, 2.097042
240.9894, 2.432026
241.4715, 2.363106
241.9536, 2.073753
242.4357, 1.441292
242.9179, 0.2735710
243.4000, 0.3192480
243.8821, 0.1316380
244.3642, 1.043877
244.8463, 1.910912
245.3284, 2.647575
245.8106, 3.058010
246.2927, 2.744801
246.7748, 1.651310
247.2569, 0.9938960
247.7390, 1.187813
248.2211, 1.806461
248.7033, 2.375355
249.1854, 2.827213
249.6675, 3.217636
250.1496, 3.615585
250.6317, 4.013000
251.1138, 4.308613
251.5960, 4.426228
252.0781, 4.451992
252.5602, 4.476612
253.0423, 4.504498
253.5244, 4.590908
254.0065, 4.835804
254.4887, 5.185734
254.9708, 5.501450
255.4529, 5.706081
255.9350, 5.872723
256.4171, 6.121059
256.8992, 6.479061
257.3813, 6.824169
257.8635, 6.990746
258.3456, 7.086395
258.8277, 7.311924
259.3098, 7.801048
259.7919, 8.404812
260.2740, 8.886318
260.7562, 9.206875
261.2383, 9.575760
261.7204, 10.17894
262.2025, 10.88358
262.6846, 11.53903
263.1667, 12.08021
263.6489, 12.58077
264.1310, 13.18967
264.6131, 13.96045
265.0952, 14.60034
265.5773, 14.83389
266.0594, 14.92476
266.5416, 15.09405
267.0237, 15.38553
267.5058, 15.81906
267.9879, 16.51426
268.4700, 17.56969
268.9521, 18.42322
269.4343, 18.67039
269.9164, 18.75107
270.3985, 18.98250
270.8806, 19.44476
271.3627, 20.01105
271.8448, 20.51248
272.3270, 20.92184
272.8091, 21.41023
273.2912, 22.09101
273.7733, 22.81749
274.2554, 23.50874
274.7375, 24.16087
275.2197, 24.80863
275.7018, 25.57475
276.1839, 26.52330
276.6660, 27.14279
277.1481, 27.04176
277.6302, 26.80267
278.1124, 26.64500
278.5945, 26.61092
279.0766, 26.69477
279.5587, 26.98637
280.0408, 27.54301
280.5229, 27.79049
281.0051, 27.37271
281.4872, 26.86049
281.9693, 26.51832
282.4514, 26.41744
282.9335, 26.35265
283.4156, 26.09739
283.8978, 25.63276
284.3799, 25.35138
284.8620, 25.63451
285.3441, 25.70448
285.8262, 25.24107
286.3083, 24.42138
286.7905, 23.54300
287.2726, 22.80118
287.7547, 22.19320
288.2368, 21.71634
288.7189, 21.56767
289.2010, 21.35381
289.6832, 20.88057
290.1653, 20.27350
290.6474, 19.72984
291.1295, 19.38157
291.6116, 19.20574
292.0938, 18.96889
292.5759, 18.67887
293.0580, 18.25526
293.5401, 17.50996
294.0222, 16.74983
294.5043, 16.32602
294.9865, 16.39091
295.4686, 16.76202
295.9507, 16.94245
296.4328, 16.64080
296.9149, 16.49438
297.3970, 16.82188
297.8792, 17.18581
298.3613, 17.15215
298.8434, 16.60785
299.3255, 15.88808
299.8076, 15.61564
300.2897, 16.06187
300.7719, 16.19399
301.2540, 15.86721
301.7361, 15.40074
302.2182, 14.86255
302.7003, 14.29516
303.1824, 13.79987
303.6646, 13.52343
304.1467, 13.48715
304.6288, 13.65668
305.1109, 14.41552
305.5930, 15.03955
306.0751, 15.07832
306.5573, 14.62790
307.0394, 14.15081
307.5215, 14.11608
308.0036, 14.57858
308.4857, 14.66403
308.9678, 13.92974
309.4500, 13.23599
309.9321, 12.73359
310.4142, 12.46283
310.8963, 12.50513
311.3784, 12.98758
311.8605, 13.79523
312.3427, 13.99836
312.8248, 12.81420
313.3069, 11.91224
313.7890, 11.76337
314.2711, 12.01696
314.7532, 12.22786
315.2354, 12.17983
315.7175, 11.92455
316.1996, 11.60561
316.6817, 11.20053
317.1638, 10.75713
317.6459, 10.11357
318.1281, 9.526157
318.6102, 9.280334
319.0923, 9.450035
319.5744, 9.806664
320.0565, 10.00915
320.5386, 10.12638
321.0208, 9.898972
321.5029, 8.912598
321.9850, 7.936375
322.4671, 7.546894
322.9492, 7.746296
323.4313, 8.038509
323.9135, 7.832592
324.3956, 6.978233
324.8777, 6.390179
325.3598, 6.381340
325.8419, 6.347504
326.3240, 5.998688
326.8062, 5.413635
327.2883, 4.845505
327.7704, 4.468243
328.2525, 4.282749
328.7346, 4.296329
329.2167, 4.894379
329.6989, 5.250031
330.1810, 5.067551
330.6631, 4.543110
331.1452, 3.945591
331.6273, 3.404057
332.1094, 2.934441
332.5916, 2.581661
333.0737, 2.327778
333.5558, 2.243946
334.0379, 2.416996
334.5200, 2.696583
335.0021, 3.001015
335.4843, 3.296246
335.9664, 3.472439
336.4485, 3.309807
336.9306, 2.637325
337.4127, 2.071999
337.8948, 1.653172
338.3770, 1.367943
338.8591, 1.299458
339.3412, 1.403461
339.8233, 1.456787
340.3055, 1.130848
340.7876, 0.3518260
341.2697, 4.7169000E-02
341.7518, 0.2307970
342.2339, 0.6313360
342.7160, 1.079079
343.1982, 1.484016
343.6803, 1.677208
344.1624, 1.492012
344.6445, 1.011677
345.1266, 0.6689220
345.6087, 0.6030810
346.0909, 0.4451560
346.5730, 0.1061860
347.0551, 0.7461090
347.5372, 1.054115
348.0193, 0.8220100
348.5014, 0.3238140
348.9836, 5.5583999E-02
349.4657, 7.8281000E-02
349.9478, 0.1314580
350.4299, 0.1701200
350.9120, 0.1997990
351.3941, 0.1731000
351.8763, 8.7665997E-02
352.3584, 0.1099850
352.8405, 0.5870130
353.3226, 1.547295
353.8047, 1.968544
354.2868, 1.345184
354.7690, 0.5089840
355.2511, 0.1443670
355.7332, 0.5795560
356.2153, 0.7340770
356.6974, 0.3406450
357.1795, 0.4034540
357.6617, 0.6616480
358.1438, 0.1866040
358.6259, 0.2814060
359.1080, 0.2135310
359.5901, 0.1180530
360.0722, 0.2653850
360.5544, 2.1999000E-02
361.0365, 0.4559710
361.5186, 0.5680850
362.0007, 0.2976230
362.4828, 0.1925130
362.9649, 0.7067870
363.4471, 1.369774
363.9292, 1.602428
364.4113, 1.264973
364.8934, 0.8657230
365.3755, 0.8213270
365.8576, 1.068695
366.3398, 1.249783
366.8219, 1.241673
367.3040, 1.207775
367.7861, 1.346966
368.2682, 1.640480
368.7503, 1.894711
369.2325, 1.986401
369.7146, 2.004833
370.1967, 2.145466
370.6788, 2.458080
371.1609, 2.680473
371.6430, 2.449928
372.1252, 1.954483
372.6073, 1.829346
373.0894, 2.580734
373.5715, 3.392422
374.0536, 3.538414
374.5357, 3.118813
375.0179, 2.747330
375.5000, 2.764729
375.9821, 2.971737
376.4642, 2.866161
376.9463, 2.282928
377.4284, 1.811073
377.9106, 1.729927
378.3927, 1.889149
378.8748, 2.060760
379.3569, 2.193520
379.8390, 2.253456
380.3211, 2.142811
380.8033, 1.794739
381.2854, 1.702862
381.7675, 2.184101
382.2496, 2.732140
382.7317, 2.980282
383.2138, 2.901661
383.6960, 2.580059
384.1781, 1.996029
384.6602, 1.199249
385.1423, 0.8954470
385.6244, 1.453201
386.1065, 1.990795
386.5887, 2.284935
387.0708, 2.351799
387.5529, 2.182377
388.0350, 1.759880
388.5171, 1.236717
388.9992, 0.9477960
389.4814, 1.070854
389.9635, 1.176971
390.4456, 1.308868
390.9277, 1.396862
391.4098, 1.406464
391.8919, 1.321373
392.3741, 1.100723
392.8562, 0.6630740
393.3383, 5.9691999E-02
393.8204, 0.4762420
394.3025, 0.5150910
394.7846, 0.3481750
395.2668, 0.1341400
395.7489, 0.7634770
