##NAMES=Saneroite
##RRUFFID=R060488
##IDEAL CHEMISTRY=Na_2_(Mn^2+^,Mn^3+^)_10_V^5+^Si_11_O_34_(OH)_4_
##LOCALITY=Molinello mine, Val Graveglia (Graveglia Valley), Ne, Genova, Liguria, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Orange colored blebs associated with white quartz, black braunite and brown parsettensite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060488
88.256, 0.000
88.738, 4.987
89.220, 10.984
89.702, 16.454
90.184, 14.951
90.666, 13.071
91.148, 16.076
91.631, 26.286
92.113, 39.730
92.595, 52.665
93.077, 59.473
93.559, 61.679
94.041, 62.787
94.523, 63.116
95.005, 63.074
95.487, 62.217
95.970, 71.566
96.452, 89.189
96.934, 108.299
97.416, 120.507
97.898, 114.482
98.380, 104.810
98.862, 88.310
99.344, 80.950
99.826, 70.119
100.309, 59.273
100.791, 53.579
101.273, 38.759
101.755, 33.244
102.237, 23.522
102.719, 13.898
103.201, 2.215
103.683, 13.858
104.165, 25.436
104.648, 31.368
105.130, 31.856
105.612, 29.638
106.094, 24.500
106.576, 16.674
107.058, 6.367
107.540, 7.339
108.022, 22.597
108.505, 40.083
108.987, 60.244
109.469, 79.307
109.951, 95.360
110.433, 110.503
110.915, 127.655
111.397, 147.668
111.879, 168.693
112.362, 189.847
112.844, 207.388
113.326, 232.288
113.808, 271.126
114.290, 319.020
114.772, 363.674
115.254, 397.963
115.736, 430.699
116.218, 467.107
116.701, 511.710
117.183, 556.281
117.665, 597.318
118.147, 635.222
118.629, 673.904
119.111, 717.971
119.593, 762.533
120.075, 801.862
120.558, 834.050
121.040, 860.756
121.522, 885.577
122.004, 908.817
122.486, 920.768
122.968, 913.044
123.450, 889.157
123.932, 855.671
124.414, 808.799
124.897, 756.609
125.379, 708.558
125.861, 666.077
126.343, 626.982
126.825, 586.217
127.307, 545.811
127.789, 514.160
128.271, 501.068
128.753, 500.775
129.236, 499.187
129.718, 492.246
130.200, 485.626
130.682, 494.583
131.164, 518.830
131.646, 537.652
132.128, 524.251
132.610, 484.326
133.093, 462.100
133.575, 472.907
134.057, 508.244
134.539, 539.262
135.021, 565.995
135.503, 588.186
135.985, 604.025
136.467, 613.213
136.949, 621.045
137.432, 627.456
137.914, 632.566
138.396, 647.128
138.878, 676.936
139.360, 707.607
139.842, 712.999
140.324, 684.784
140.806, 654.893
141.288, 635.388
141.771, 627.444
142.253, 626.020
142.735, 634.012
143.217, 647.658
143.699, 655.358
144.181, 652.473
144.663, 650.507
145.145, 655.586
145.628, 670.272
146.110, 687.133
146.592, 707.552
147.074, 730.665
