##NAMES=Stichtite
##RRUFFID=R060675
##IDEAL CHEMISTRY=Mg_6_Cr^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Nevada Creek, Dundas, Tasmania, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Purple massive, associated with green serpentine
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060675
159.615, 0.000
160.097, 13.373
160.579, 1.045
161.062, 28.192
161.544, 70.471
162.026, 121.262
162.508, 154.049
162.990, 148.385
163.472, 147.324
163.954, 174.817
164.436, 228.886
164.919, 299.952
165.401, 399.161
165.883, 520.879
166.365, 597.707
166.847, 589.974
167.329, 572.053
167.811, 589.757
168.293, 637.606
168.775, 684.992
169.258, 710.608
169.740, 714.702
170.222, 705.921
170.704, 681.080
171.186, 649.961
171.668, 614.039
172.150, 574.038
172.632, 533.850
173.115, 496.856
173.597, 465.449
174.079, 429.451
174.561, 374.970
175.043, 322.096
175.525, 283.023
176.007, 254.705
176.489, 225.278
176.971, 177.566
177.454, 106.253
177.936, 56.766
178.418, 54.950
178.900, 59.344
179.382, 57.714
179.864, 47.899
180.346, 29.681
180.828, 1.179
181.311, 39.530
181.793, 70.618
182.275, 89.542
182.757, 98.295
183.239, 92.916
183.721, 78.146
184.203, 64.187
184.685, 59.417
185.167, 64.748
185.650, 66.798
186.132, 54.227
186.614, 51.472
187.096, 76.241
187.578, 118.763
188.060, 150.471
188.542, 136.192
189.024, 67.017
189.507, 25.158
189.989, 35.781
190.471, 54.685
190.953, 71.275
191.435, 83.835
191.917, 94.809
192.399, 106.801
192.881, 120.034
193.363, 130.358
193.846, 145.756
194.328, 150.279
194.810, 123.640
195.292, 78.551
195.774, 48.624
196.256, 69.471
196.738, 144.322
197.220, 187.308
197.702, 170.370
198.185, 145.158
198.667, 126.862
199.149, 112.684
199.631, 90.935
200.113, 47.619
200.595, 17.509
201.077, 53.194
201.559, 25.010
202.042, 2.770
202.524, 15.392
203.006, 14.604
203.488, 5.649
203.970, 10.917
204.452, 33.689
204.934, 33.938
205.416, 22.930
205.898, 68.747
206.381, 85.907
206.863, 80.210
207.345, 61.566
207.827, 33.362
208.309, 1.286
208.791, 14.845
209.273, 10.741
209.755, 39.581
210.238, 66.133
210.720, 90.132
211.202, 114.483
211.684, 143.009
212.166, 170.724
212.648, 168.457
213.130, 87.094
213.612, 37.693
214.094, 69.181
214.577, 137.188
215.059, 183.731
215.541, 176.354
216.023, 128.683
216.505, 86.635
216.987, 42.638
217.469, 16.228
217.951, 22.436
218.434, 43.328
218.916, 59.460
219.398, 61.857
219.880, 55.229
220.362, 52.898
220.844, 64.455
221.326, 62.558
221.808, 31.868
222.290, 6.866
222.773, 32.015
223.255, 35.567
223.737, 29.174
224.219, 38.162
224.701, 76.954
225.183, 99.721
225.665, 89.480
226.147, 69.786
226.629, 59.235
227.112, 63.110
227.594, 72.320
228.076, 72.829
228.558, 61.157
229.040, 50.148
229.522, 43.839
230.004, 36.632
230.486, 21.030
230.969, 2.895
231.451, 23.138
231.933, 19.856
232.415, 16.538
232.897, 34.543
233.379, 4.528
233.861, 25.641
234.343, 30.234
234.825, 8.594
235.307, 20.606
235.790, 41.345
236.272, 53.455
236.754, 58.765
237.236, 49.326
237.718, 40.035
238.200, 37.619
238.682, 41.518
239.165, 47.515
239.647, 52.436
240.129, 56.464
240.611, 62.327
241.093, 70.471
241.575, 80.490
242.057, 99.414
242.539, 120.572
243.021, 127.569
243.503, 101.444
243.986, 52.937
244.468, 29.603
244.950, 46.536
245.432, 63.236
245.914, 54.604
246.396, 34.728
246.878, 27.797
247.361, 51.277
247.843, 89.146
248.325, 107.189
248.807, 101.821
249.289, 85.959
249.771, 46.019
250.253, 5.236
250.735, 4.833
251.217, 36.333
251.699, 93.854
252.182, 121.072
252.664, 114.711
253.146, 98.756
253.628, 68.543
254.110, 39.791
254.592, 30.313
255.074, 45.943
255.556, 72.083
256.039, 99.297
256.521, 127.234
257.003, 147.570
257.485, 156.837
257.967, 157.553
258.449, 151.460
258.931, 136.756
259.413, 126.112
259.896, 128.263
260.378, 141.237
260.860, 157.586
261.342, 176.312
261.824, 197.574
262.306, 226.957
262.788, 264.519
263.270, 287.639
263.752, 280.597
264.235, 255.003
264.717, 228.663
265.199, 201.761
265.681, 184.387
266.163, 195.559
266.645, 230.530
267.127, 251.581
267.609, 239.092
268.091, 216.182
268.574, 208.432
269.056, 217.670
269.538, 228.778
270.020, 231.073
270.502, 224.616
270.984, 216.973
271.466, 204.045
271.948, 192.866
272.431, 188.804
272.913, 190.968
273.395, 194.442
273.877, 195.968
274.359, 196.891
274.841, 203.658
275.323, 223.104
275.805, 239.378
276.288, 238.851
276.770, 232.374
277.252, 244.412
277.734, 287.846
278.216, 345.126
278.698, 372.704
279.180, 333.139
279.662, 321.808
280.144, 371.428
280.626, 441.766
281.109, 490.751
281.591, 506.824
282.073, 503.985
282.555, 501.256
283.037, 495.003
283.519, 498.749
284.001, 511.274
284.483, 533.518
284.966, 575.760
285.448, 632.492
285.930, 681.442
286.412, 699.142
286.894, 681.990
287.376, 662.429
287.858, 629.907
288.340, 605.656
288.823, 600.000
289.305, 609.049
289.787, 624.931
290.269, 644.139
290.751, 664.498
291.233, 670.849
291.715, 643.888
292.197, 627.818
292.679, 642.541
293.162, 668.556
293.644, 681.810
294.126, 671.286
294.608, 646.715
295.090, 628.263
295.572, 618.454
296.054, 608.416
296.536, 595.051
297.018, 581.588
297.501, 567.969
297.983, 554.531
298.465, 547.898
298.947, 557.860
299.429, 585.504
299.911, 612.201
300.393, 635.612
300.875, 657.077
301.358, 679.325
301.840, 701.216
302.322, 717.182
302.804, 714.432
303.286, 701.624
303.768, 712.883
304.250, 759.207
304.732, 809.455
305.215, 848.586
305.697, 876.541
306.179, 890.011
306.661, 877.714
307.143, 857.263
307.625, 852.346
308.107, 863.645
308.589, 874.297
309.071, 876.426
309.553, 871.440
310.036, 863.951
310.518, 852.758
311.000, 841.118
311.482, 835.633
311.964, 831.813
312.446, 811.431
312.928, 761.453
313.410, 706.163
313.893, 696.520
314.375, 747.011
314.857, 782.738
315.339, 776.942
315.821, 754.040
316.303, 743.791
316.785, 751.497
317.267, 759.947
317.750, 748.701
318.232, 711.409
318.714, 691.552
319.196, 704.289
319.678, 719.609
320.160, 720.225
320.642, 708.522
321.124, 695.856
321.606, 689.666
322.089, 689.671
322.571, 694.072
323.053, 719.099
323.535, 729.340
324.017, 703.576
324.499, 664.666
324.981, 642.160
325.463, 648.001
325.945, 670.097
326.428, 685.358
326.910, 695.468
327.392, 693.804
327.874, 672.169
328.356, 645.759
328.838, 622.256
329.320, 603.730
329.802, 591.170
330.284, 587.505
330.767, 593.220
331.249, 598.344
331.731, 614.693
332.213, 615.160
332.695, 572.823
333.177, 506.432
333.659, 458.954
334.142, 466.124
334.624, 499.380
335.106, 491.242
335.588, 429.860
336.070, 376.695
336.552, 374.897
337.034, 393.256
337.516, 391.101
337.998, 355.630
338.480, 314.785
338.963, 287.956
339.445, 273.943
339.927, 267.326
340.409, 268.224
340.891, 273.208
341.373, 277.798
341.855, 281.944
342.337, 285.866
342.819, 287.753
343.302, 290.197
343.784, 299.087
344.266, 314.763
344.748, 326.096
345.230, 322.063
345.712, 301.717
346.194, 285.458
346.677, 267.016
347.159, 258.129
347.641, 269.700
348.123, 294.888
348.605, 317.481
349.087, 328.361
349.569, 333.079
350.051, 349.743
350.533, 401.544
351.016, 434.332
