##NAMES=Tausonite
##RRUFFID=X090004
##IDEAL CHEMISTRY=SrTiO_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted colorless stone, cell parameters indicate a disordered structure
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/X090004
107.3226, 0.0000000E+00
107.8047, 7.6110996E-02
108.2868, 0.5926510
108.7689, 1.824524
109.2510, 2.398743
109.7332, 2.157898
110.2153, 2.252228
110.6974, 2.720459
111.1795, 3.196106
111.6616, 3.330139
112.1437, 2.994965
112.6259, 2.350220
113.1080, 2.240112
113.5901, 2.859192
114.0722, 3.736053
114.5543, 4.758942
115.0364, 5.910858
115.5185, 6.639252
116.0007, 5.995453
116.4828, 5.594757
116.9649, 6.649139
117.4470, 9.151917
117.9291, 11.89990
118.4112, 12.73227
118.8934, 10.49371
119.3755, 8.826965
119.8576, 8.070221
120.3397, 7.999512
120.8218, 8.610596
121.3039, 9.904236
121.7861, 11.45813
122.2682, 12.66019
122.7503, 13.02805
123.2324, 13.46951
123.7145, 14.78027
124.1966, 16.29889
124.6788, 16.98245
125.1609, 16.40506
125.6430, 14.65445
126.1251, 13.69232
126.6072, 14.25064
127.0893, 14.80542
127.5715, 14.51785
128.0536, 13.52219
128.5357, 12.67938
129.0178, 12.55508
129.4999, 13.12302
129.9821, 13.63074
130.4642, 13.91455
130.9463, 14.04523
131.4284, 14.52151
131.9105, 15.37833
132.3926, 15.61526
132.8748, 15.35876
133.3569, 14.97189
133.8390, 14.58853
134.3211, 13.87589
134.8032, 13.02902
135.2853, 12.84485
135.7674, 13.83160
136.2496, 14.78528
136.7317, 15.15891
137.2138, 15.22360
137.6959, 15.38770
138.1780, 15.97861
138.6601, 16.98669
139.1423, 17.35681
139.6244, 16.52032
140.1065, 15.96326
140.5886, 15.91815
141.0707, 16.40005
141.5528, 17.18185
142.0350, 17.23474
142.5171, 16.25687
142.9992, 15.98746
143.4813, 16.37381
143.9634, 16.87823
144.4455, 17.51099
144.9277, 18.23871
145.4098, 18.71796
145.8919, 18.62534
146.3740, 17.88968
146.8561, 17.52551
147.3382, 17.89349
147.8204, 18.01175
148.3025, 17.77277
148.7846, 17.35614
149.2667, 17.10370
149.7488, 16.88681
150.2309, 16.94910
150.7131, 17.03625
151.1952, 16.52292
151.6773, 15.96024
152.1594, 15.73962
152.6415, 15.82654
153.1236, 16.08435
153.6058, 16.63052
154.0879, 17.50586
154.5700, 17.87463
155.0521, 16.76056
155.5342, 13.74670
156.0163, 11.77435
156.4985, 13.63531
156.9806, 16.39667
157.4627, 17.75726
157.9448, 17.13062
158.4269, 15.38452
158.9090, 13.67401
159.3912, 11.92218
159.8733, 10.65619
160.3554, 10.23590
160.8375, 10.16699
161.3196, 10.12763
161.8017, 9.995056
162.2839, 9.671326
162.7660, 8.798462
163.2481, 6.549255
